"Sl.
No.","STN
Code",Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,"Conductivity (&micro;mho
/cm)","BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/10
0ml)","Total Coliform (MPN/100
ml)",Fecal Streptococci (MPN/100ml),"Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca as Ca (mg/L),Mg as CaCo3 (mg/L),Mg as Ca (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
1,1388.0,"Ulsoor Lake Training Centre Of Fish
Breeding","D (Propagation of wild
life,fisheries)",6.7,9.0,453.0,5.0,1.42,0.02(BDL),14.0,120.0,,32,56.0,21.3,16,72.0,52.0,60.0,1.5(BDL),0.4,88.0,48.0,19.2,40.0,9.7,10,28.0,304.0,28,0.2(BDL),0.5(BDL),2.0,0.29,40.0,1.3,0.05(BDL),2024
2,2778.0,"River Arkavathi At
Tippagondanahalli Reservoir","D (Propagation of wild
life,fisheries)",5.4,7.4,1140.0,6.0,4,0.24,68.0,490.0,23.0,3(BDL),252.0,29.8,5(BDL),252.0,208.0,72.0,1.5(BDL),0.64,352.0,184.0,73.6,168.0,40.8,19,140.0,766.0,40,1.5,0.5(BDL),25.0,0.43,44.0,3.0,4.2,2024
3,3589.0,Madiwala Tank,"D (Propagation of wild
life,fisheries)",4.7,8.0,808.0,4.0,3.1,0.1,9200.0,46000.0,,3(BDL),220.0,6.2,5(BDL),220.0,136.0,40.0,1.5(BDL),0.56,184.0,96.0,38.4,88.0,21.4,33,80.0,544.0,10(BDL),0.27,0.5(BDL),18.0,0.23,46.0,2.5,0.76,2024
4,3590.0,Lalbagh Tank,"D (Propagation of wild
life,fisheries)",4.7,8.6,535.0,9.0,1.9,0.59,2100.0,7000.0,,16,72.0,28.3,8,88.0,108.0,91.0,1.5(BDL),0.84,92.0,52.0,20.8,40.0,9.7,20,63.0,366.0,36,0.2(BDL),0.5(BDL),11.0,0.2(BDL),56.0,3.0,0.3,2024
5,3591.0,Kempambudhi Tank,"D (Propagation of wild
life,fisheries)",4.8,6.6,436.0,8.0,1.4,0.02(BDL),11000.0,33000.0,,3(BDL),188.0,35.2,5(BDL),188.0,36.0,84.0,1.5(BDL),0.88,152.0,80.0,32.0,72.0,17.5,10,48.0,300.0,46,0.2(BDL),0.5(BDL),16.0,0.2(BDL),37.0,1.7,0.05(BDL),2024
6,3592.0,Yediyur Tank,"D (Propagation of wild
life,fisheries)",4.8,7.6,305.0,8.0,1,0.02(BDL),1700.0,7900.0,,3(BDL),68.0,23.4,5(BDL),68.0,52.0,84.0,1.5(BDL),0.82,72.0,40.0,16.0,32.0,7.8,14,36.0,208.0,30,0.2(BDL),0.5(BDL),11.0,0.2(BDL),47.0,1.8,0.05(BDL),2024
7,3593.0,Ulsoor Lake Temple,"D (Propagation of wild
life,fisheries)",5.8,9.3,462.0,6.0,1.46,0.02(BDL),380.0,9200.0,,16,60.0,24.9,8,68.0,56.0,64.0,1.5(BDL),0.4,72.0,40.0,16.0,32.0,7.8,14,29.0,308.0,30,0.2(BDL),0.5(BDL),2.0,0.28,46.0,2.0,0.05(BDL),2024
8,3594.0,Sankey Tank,"D (Propagation of wild
life,fisheries)",5.9,6.9,611.0,7.0,2.06,0.02(BDL),170.0,3500.0,,3(BDL),140.0,4.6,5(BDL),140.0,64.0,60.0,1.5(BDL),0.4,156.0,84.0,33.6,72.0,17.5,8,40.0,396.0,10(BDL),0.2(BDL),0.5(BDL),3.0,0.45,35.0,1.4,0.05(BDL),2024
9,3595.0,Byrasandra Tank,"D (Propagation of wild
life,fisheries)",5.5,7.0,487.0,6.0,1.96,0.02(BDL),210.0,5400.0,,3(BDL),124.0,13.6,5(BDL),124.0,52.0,52.0,1.5(BDL),0.4,140.0,76.0,30.4,64.0,15.6,10,38.0,306.0,18,0.45,0.5(BDL),2.0,0.27,37.0,1.4,1.1,2024
10,3596.0,Nayandanahalli Tank,"D (Propagation of wild
life,fisheries)",6.2,8.4,738.0,4.0,2.8,0.02(BDL),210.0,5400.0,,3(BDL),184.0,6.8,12,196.0,120.0,44.0,1.5(BDL),0.62,168.0,88.0,35.2,80.0,19.4,30,66.0,496.0,10(BDL),0.2(BDL),0.5(BDL),15.0,0.27,44.0,2.21,0.39,2024
11,3597.0,Hesaraghatta Lake,"D (Propagation of wild
life,fisheries)",5.3,7.8,404.0,8.0,2,0.2,260.0,3500.0,,3(BDL),116.0,25.0,5(BDL),116.0,76.0,71.0,1.5(BDL),0.86,148.0,80.0,32.0,67.0,16.3,5(BDL),44.0,274.0,32,0.2(BDL),0.5(BDL),19.0,0.2(BDL),36.0,1.6,0.05(BDL),2024
12,3598.0,Herohalli Tank,"E (Irrigation, industrial cooling and controlled waste)",2.3,6.8,408.0,18.0,1.4,0.6,1700.0,7900.0,,3(BDL),136.0,18.0,5(BDL),136.0,48.0,120.0,2.7,2.1,160.0,84.0,33.6,76.0,18.5,9,46.0,278.0,24,0.5,0.5(BDL),16.0,0.2(BDL),36.0,1.63,1.2,2024
13,3599.0,Anchepalya Lake,"E (Irrigation, industrial cooling and controlled waste)",3.3,7.1,534.0,20.0,1.75,0.02(BDL),170.0,3500.0,,3(BDL),112.0,15.6,5(BDL),112.0,48.0,144.0,3.25,2.5,124.0,68.0,27.2,56.0,13.6,35,32.0,356.0,20,0.29,0.5(BDL),2.0,0.25,35.0,1.25,0.9,2024
14,3600.0,Shivapura Tank,"E (Irrigation, industrial cooling and controlled waste)",3.7,7.3,874.0,22.0,3.1,0.7,430.0,3500.0,,3(BDL),148.0,20.3,5(BDL),148.0,60.0,146.0,1.7,1.3,316.0,164.0,65.6,152.0,36.9,112,92.0,594.0,26,0.2(BDL),0.5(BDL),28.0,0.22,36.0,2.3,0.05(BDL),2024
15,3602.0,Bellandur Lake,"D (Propagation of wild
life,fisheries)",5.9,7.0,962.0,7.0,3.3,0.6,2100.0,9400.0,,3(BDL),216.0,15.0,5(BDL),216.0,68.0,60.0,1.5(BDL),0.86,496.0,252.0,100.8,244.0,59.3,109,93.0,654.0,20,0.2(BDL),0.5(BDL),26.0,0.21,28.0,1.8,0.21,2024
16,3604.0,Doddanekkundi Lake,"D (Propagation of wild
life,fisheries)",6.2,7.2,591.0,5.0,1.98,0.02(BDL),310.0,3500.0,,3(BDL),144.0,18.9,5(BDL),144.0,68.0,48.0,1.5(BDL),0.4,140.0,76.0,30.4,64.0,15.6,18,38.0,396.0,24,0.63,0.5(BDL),3.0,0.26,37.0,1.39,1.63,2024
17,3605.0,Yelemallappa Shetty Lake,"E (Irrigation, industrial cooling and controlled waste)",2,6.6,634.0,17.0,2.2,0.02(BDL),1100.0,7900.0,,3(BDL),204.0,68.4,5(BDL),204.0,60.0,128.0,10.5,7.8,188.0,100.0,40.0,88.0,21.4,7,66.0,424.0,90,1.1,0.5(BDL),13.0,0.2(BDL),41.0,2.0,3,2024
18,3606.0,Dasarahalli Tank,"E (Irrigation, industrial cooling and controlled waste)",3.2,6.3,388.0,18.0,4.6,0.02(BDL),240.0,3500.0,,3(BDL),104.0,38.6,5(BDL),104.0,32.0,117.0,2,1.5,140.0,76.0,30.4,64.0,15.6,7,41.0,264.0,50,0.8,0.5(BDL),18.0,0.2(BDL),35.0,1.5,1.3,2024
19,3607.0,Kalkere Tank,"E (Irrigation, industrial cooling and controlled waste)",3.2,8.2,884.0,16.0,3,0.02(BDL),630.0,5400.0,,3(BDL),144.0,88.5,5(BDL),144.0,180.0,116.0,1.5(BDL),1.0,176.0,96.0,38.4,80.0,19.4,32,114.0,564.0,112,0.79,0.5(BDL),26.0,0.2(BDL),54.0,4.0,2.1,2024
20,3608.0,Varthur Lake,"D (Propagation of wild
life,fisheries)",5.5,7.2,1180.0,6.0,4.2,0.02(BDL),21.0,280.0,,3(BDL),316.0,10.0,5(BDL),316.0,204.0,59.0,1.5(BDL),0.72,288.0,148.0,59.2,140.0,34.0,35,122.0,804.0,14,0.5,0.5(BDL),28.0,0.2(BDL),45.0,3.1,1,2024
21,3609.0,Ibbalur Lake,"D (Propagation of wild
life,fisheries)",5.9,7.5,815.0,7.0,3.3,0.02(BDL),25.0,920.0,,3(BDL),168.0,6.2,5(BDL),168.0,144.0,64.0,1.5(BDL),0.62,132.0,72.0,28.8,60.0,14.6,18,70.0,546.0,10(BDL),1.04,0.5(BDL),6.0,0.4,52.0,3.0,2.76,2024
22,3610.0,Tubarahalli Tank,"D (Propagation of wild
life,fisheries)",5.8,7.6,659.0,6.0,2.65,0.02(BDL),260.0,5400.0,,3(BDL),132.0,12.6,5(BDL),132.0,116.0,56.0,1.5(BDL),0.4,152.0,80.0,32.0,72.0,17.5,23,53.0,442.0,16,0.43,0.5(BDL),4.0,0.25,42.0,1.86,1.33,2024
23,3611.0,Kaikondanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",1.7,7.8,1626.0,27.0,5.8,0.7,380.0,3500.0,,3(BDL),428.0,72.0,5(BDL),428.0,304.0,182.0,31,24.0,476.0,244.0,97.6,232.0,56.4,38,266.0,1106.0,94,1,0.5(BDL),26.0,0.26,41.0,3.3,2.1,2024
24,3612.0,Agaram Lake,"D (Propagation of wild
life,fisheries)",6,8.4,1046.0,7.0,4.2,0.02(BDL),260.0,1400.0,,16,260.0,8.6,8,268.0,156.0,68.0,1.5(BDL),0.71,264.0,136.0,54.4,128.0,31.1,35,92.0,702.0,10(BDL),1.22,0.5(BDL),8.0,0.57,36.0,2.0,3.15,2024
25,3613.0,Gottigere Lake,"D (Propagation of wild
life,fisheries)",4.1,7.7,665.0,5.0,2.5,0.02(BDL),1400.0,13000.0,,3(BDL),152.0,11.2,5(BDL),152.0,108.0,52.0,1.5(BDL),0.84,176.0,92.0,36.8,84.0,20.4,27,62.0,442.0,14,0.2(BDL),0.5(BDL),13.0,0.28,41.0,2.02,0.44,2024
26,3614.0,Puttenahalli Lake,"D (Propagation of wild
life,fisheries)",6.8,7.6,416.0,4.0,1.6,0.02(BDL),240.0,3500.0,,3(BDL),92.0,4.9,5(BDL),92.0,64.0,40.0,1.5(BDL),0.4,108.0,56.0,22.4,52.0,12.6,17,38.0,278.0,10(BDL),0.2(BDL),0.5(BDL),8.0,0.2(BDL),41.0,2.0,0.05(BDL),2024
27,3615.0,Arakere Lake,"E (Irrigation, industrial cooling and controlled waste)",2.5,6.6,487.0,19.0,1.8,0.02(BDL),1100.0,4900.0,,3(BDL),108.0,8.2,5(BDL),108.0,76.0,160.0,4.2,3.6,128.0,68.0,27.2,60.0,14.6,20,46.0,332.0,10(BDL),0.86,0.5(BDL),10.0,0.2(BDL),41.0,2.0,2.45,2024
28,3616.0,Kalena Agrahara Lake,"D (Propagation of wild
life,fisheries)",4.2,7.5,670.0,,2.6,0.02(BDL),2300.0,7900.0,,3(BDL),152.0,10.9,5(BDL),152.0,108.0,43.0,1.5(BDL),0.72,180.0,92.0,36.8,88.0,21.4,27,64.0,446.0,14,0.2(BDL),0.5(BDL),13.0,0.2(BDL),41.0,2.0,0.53,2024
29,3618.0,Singasandra Lake,"E (Irrigation, industrial cooling and controlled waste)",3.4,7.1,1557.0,30.0,6.3,0.03,17000.0,94000.0,,3(BDL),132.0,30.8,5(BDL),132.0,340.0,200.0,1.8,1.4,204.0,108.0,43.2,96.0,23.3,107,141.0,1042.0,40,0.21,0.5(BDL),13.0,0.52,58.0,4.0,0.49,2024
