"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/cm),"BOD
(mg/L)",NitrateN (mg/L),Fecal Coliform (MPN/100ml),Total  Coliform (MPN/100ml),Fecal Streptococci (MPN/100ml),Carbonate (CO3-) (mg/L),Bicarbonate (HCO3-) (mg/L),Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
4518,Dec,GARUDACHARPALYA TANK,"E (Irrigation, industrial cooling and controlled waste)",3.2,6.5,744.0,15.0,2.86,4600.0,54000.0,,3(BDL),164.0,80.4,5(BDL),164.0,116.0,135.0,6.2,4.8,196.0,100.0,96.0,30,67.0,510.0,96,0.54,0.5(BDL),15.0,0.31,40.0,2.1,1.5,2023
4519,Dec,RAMPURA LAKE,"E (Irrigation, industrial cooling and controlled waste)",2,7.0,602.0,17.0,1.4,27000.0,240000.0,,3(BDL),124.0,20.4,5(BDL),124.0,168.0,116.0,2.9,2.3,84.0,48.0,36.0,37,49.0,420.0,10(BDL),0.8,0.5(BDL),14.0,0.28,51.0,2.3,1.8,2023
4520,Dec,CHINNAPPANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.6,7.5,972.0,6.0,2.1,2300.0,24000.0,,3(BDL),272.0,5.2,5(BDL),272.0,252.0,70.0,1.5(BDL),0.52,288.0,152.0,136.0,9,91.0,662.0,10(BDL),0.2(BDL),0.5(BDL),12.0,0.24,39.0,2.3,0.9,2023
4521,Dec,DEVARABEESANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.8,7.6,549.0,6.0,1.9,4800.0,92000.0,,3(BDL),120.0,6.3,5(BDL),120.0,72.0,59.0,1.5(BDL),0.86,156.0,84.0,72.0,42,63.0,386.0,10(BDL),0.2(BDL),0.5(BDL),24.0,0.27,41.0,2.2,0.4,2023
4522,Dec,VIBHUTHIPURA LAKE,"D (Propagation of wild life,fisheries)",5.1,7.5,396.0,7.0,1.5,840.0,16000.0,,3(BDL),80.0,5.6,5(BDL),80.0,52.0,67.0,1.5(BDL),0.8,128.0,68.0,60.0,24,54.0,270.0,10(BDL),0.2(BDL),0.5(BDL),16.0,0.2(BDL),44.0,2.7,0.05(BDL),2023
4523,Dec,NALLURAHALLI LAKE,"D (Propagation of wild life,fisheries)",6.2,6.8,588.0,4.0,2.25,6300.0,54000.0,,3(BDL),128.0,8.2,5(BDL),128.0,92.0,40.0,1.5(BDL),0.42,152.0,80.0,72.0,24,53.0,406.0,10(BDL),0.2(BDL),0.5(BDL),12.0,0.27,40.0,1.86,0.47,2023
4524,Dec,"PATTANDUR
AGRAHARA LAKE","D (Propagation of wild life,fisheries)",5.2,7.3,1671.0,4.0,6.4,1700.0,24000.0,,3(BDL),384.0,8.6,5(BDL),384.0,276.0,44.0,1.5(BDL),0.81,452.0,232.0,220.0,68,150.0,1158.0,12,0.28,0.5(BDL),33.0,0.39,40.0,3.1,0.76,2023
4525,Dec,SEETHARAMPALYA LAKE,"D (Propagation of wild life,fisheries)",5.1,6.9,1023.0,4.0,3.9,4100.0,35000.0,,3(BDL),232.0,16.2,5(BDL),232.0,164.0,40.0,1.5(BDL),0.83,272.0,140.0,132.0,41,98.0,698.0,20,0.26,0.5(BDL),20.0,0.37,42.0,2.6,0.73,2023
4526,Dec,DEVASANDRA LAKE,"D (Propagation of wild life,fisheries)",4.2,6.5,392.0,4.0,1.53,840.0,9200.0,,3(BDL),88.0,7.1,5(BDL),88.0,60.0,40.0,1.5(BDL),0.92,104.0,56.0,48.0,16,31.0,270.0,10(BDL),0.2(BDL),0.5(BDL),8.0,0.2(BDL),37.0,1.3,0.05(BDL),2023
4527,Dec,"SHEELAVANTA-
WHITEFIELD LAKE","D (Propagation of wild life,fisheries)",4.9,8.2,1165.0,4.0,4.5,5800.0,92000.0,,3(BDL),316.0,19.1,5(BDL),316.0,192.0,45.0,1.5(BDL),0.92,268.0,140.0,128.0,47,105.0,802.0,22,0.23,0.5(BDL),23.0,0.44,43.0,2.8,0.6,2023
4528,Dec,DODDAKANNEHALLI LAKE,"D (Propagation of wild life,fisheries)",4.5,6.9,530.0,7.0,1.9,23000.0,240000.0,,3(BDL),108.0,9.5,5(BDL),108.0,68.0,61.0,1.5(BDL),0.9,168.0,88.0,80.0,25,63.0,368.0,12,0.25,0.5(BDL),24.0,0.23,44.0,2.1,0.7,2023
4530,Dec,KAMMASANDRA LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.1,7.7,2020.0,17.0,8.7,4000000.0,35000000.0,,3(BDL),636.0,12.2,5(BDL),636.0,376.0,112.0,3.3,2.5,508.0,260.0,248.0,48,187.0,1384.0,16,0.6,0.5(BDL),38.0,0.37,42.0,3.6,1.3,2023
4531,Dec,RAYASANDRA LAKE,"E (Irrigation, industrial cooling and controlled waste)",1.6,7.7,1699.0,20.0,6.9,470000.0,5400000.0,,3(BDL),416.0,10.6,5(BDL),416.0,356.0,137.0,6.2,4.8,468.0,236.0,232.0,68,136.0,1165.0,14,0.6,0.5(BDL),30.0,0.24,37.0,2.7,1.6,2023
4532,Dec,CHANDAPURA LAKE,"E (Irrigation, industrial cooling and controlled waste)",2,7.8,1948.0,18.0,8.6,230000.0,2400000.0,,3(BDL),528.0,9.8,5(BDL),528.0,436.0,117.0,3,2.6,476.0,240.0,236.0,47,163.0,1328.0,12,0.2(BDL),0.5(BDL),37.0,0.42,40.0,3.2,0.4,2023
4533,Dec,ULLALU LAKE,"D (Propagation of wild life,fisheries)",4.4,6.58,770.0,6.0,1.3,70000.0,350000.0,,3(BDL),236.0,3.6,5(BDL),236.0,188.0,74.0,1.5(BDL),0.4,252.0,136.0,116.0,27,66.0,540.0,10(BDL),0.2(BDL),0.5(BDL),12.0,0.22,35.0,2.0,0.05(BDL),2023
4534,Dec,SOMPURA LAKE,"D (Propagation of wild life,fisheries)",6.1,8.2,1090.0,4.0,3.7,9400.0,92000.0,,3(BDL),392.0,2.1,5(BDL),392.0,112.0,36.0,1.5(BDL),0.4,200.0,108.0,92.0,42,195.0,738.0,10(BDL),0.2(BDL),0.5(BDL),14.0,0.27,66.0,6.0,0.32,2023
4535,Dec,GUBBALAL LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.6,6.8,302.0,39.0,1.0,7900.0,160000.0,,3(BDL),84.0,13.2,5(BDL),84.0,24.0,116.0,5.5,4.2,136.0,76.0,60.0,17,24.0,206.0,18,0.2(BDL),0.5(BDL),14.0,0.28,25.0,1.0,0.43,2023
4536,Dec,HOSAKEREHALLI LAKE,"D (Propagation of wild life,fisheries)",5.8,7.2,755.0,4.0,2.6,6300.0,92000.0,,3(BDL),272.0,15.6,5(BDL),272.0,24.0,44.0,1.5(BDL),0.4,212.0,112.0,100.0,111,45.0,510.0,22,0.2(BDL),0.5(BDL),9.0,0.25,44.0,1.0,0.44,2023
4537,Dec,CHINNAKURCHI KERE,"D (Propagation of wild life,fisheries)",4.5,8.2,1096.0,7.0,2.5,460.0,9200.0,,3(BDL),236.0,4.0,5(BDL),236.0,184.0,74.0,1.5(BDL),0.4,248.0,132.0,116.0,25,104.0,710.0,10(BDL),0.52,0.5(BDL),18.0,0.3,45.0,2.9,0.8,2023
4538,Dec,MACHOHALLI LAKE,"D (Propagation of wild life,fisheries)",4.2,7.38,2170.0,6.0,5.7,34000.0,240000.0,,3(BDL),524.0,6.3,5(BDL),524.0,436.0,74.0,1.5(BDL),0.4,584.0,300.0,284.0,55,167.0,1478.0,10(BDL),1.6,0.5(BDL),29.0,0.38,37.0,3.0,4.8,2023
4539,Dec,DODDABIDARAKALLU LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),7.14,1485.0,20.0,3.2,4900.0,92000.0,,3(BDL),448.0,18.4,5(BDL),448.0,404.0,227.0,10.4,8.3,512.0,260.0,252.0,38,106.0,1022.0,24,0.56,0.5(BDL),11.0,0.3,30.0,2.0,1.7,2023
4540,Dec,"KAMMAGONDANAHALLI
LAKE","D (Propagation of wild life,fisheries)",4.2,7.5,972.0,6.0,2.1,2300.0,24000.0,,3(BDL),272.0,5.2,5(BDL),272.0,252.0,70.0,1.5(BDL),0.52,288.0,152.0,136.0,9,91.0,662.0,10(BDL),0.29,0.5(BDL),12.0,0.24,39.0,2.3,0.9,2023
4541,Dec,ALUR LAKE,"D (Propagation of wild life,fisheries)",4.2,6.9,142.0,11.0,0.4,460.0,16000.0,,3(BDL),80.0,4.3,5(BDL),80.0,40.0,105.0,16.9,1.26,36.0,24.0,12.0,5(BDL),16.0,100.0,22,0.2(BDL),0.5(BDL),2.0,0.21,47.0,1.2,0.05(BDL),2023
4542,Dec,BASAVANAPURA LAKE,"D (Propagation of wild life,fisheries)",5.7,7.8,409.0,5.0,1.0,580.0,9200.0,,3(BDL),80.0,15.6,5(BDL),80.0,56.0,60.0,1.5(BDL),0.4,88.0,52.0,36.0,25,65.0,276.0,22,0.2(BDL),0.5(BDL),16.0,0.22,57.0,3.0,0.35,2023
4543,Dec,KODI SINGASANDRA LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.8,7.1,500.0,8.0,2.1,940.0,9200.0,,3(BDL),96.0,5.8,5(BDL),96.0,88.0,77.0,2.4,1.8,68.0,40.0,28.0,25,62.0,360.0,10(BDL),0.23,0.5(BDL),18.0,0.24,59.0,3.3,0.5,2023
4544,Dec,KOTHANURU LAKE,"D (Propagation of wild life,fisheries)",5.1,7.1,422.0,7.0,2.0,3400.0,54000.0,,3(BDL),104.0,9.8,5(BDL),104.0,52.0,64.0,1.5(BDL),0.68,96.0,52.0,44.0,8,41.0,290.0,12,0.2(BDL),0.5(BDL),19.0,0.3,43.0,2.0,0.05(BDL),2023
4547,Dec,"MANGAMANAPALYA LAKE
(SWARANA KUNTE)","D (Propagation of wild life,fisheries)",4.9,7.3,607.0,6.0,2.8,840.0,9200.0,,3(BDL),76.0,6.0,5(BDL),76.0,136.0,50.0,1.5(BDL),0.72,116.0,64.0,51.0,39,85.0,432.0,10(BDL),0.2(BDL),0.5(BDL),27.0,0.2(BDL),55.0,3.7,0.2,2023
5558,Dec,"Kannahalli Lake Kannahalli,
Bengaluru","D (Propagation of wild life,fisheries)",4.4,7.5,1168.0,8.0,2.3,490.0,16000.0,,3(BDL),328.0,6.3,5(BDL),328.0,284.0,82.0,1.5(BDL),0.4,392.0,200.0,192.0,18,91.0,792.0,10(BDL),0.22,0.5(BDL),13.0,0.22,32.0,2.0,0.67,2023
5559,Dec,"Shettihalli Lake, Mallasandra
Gudde Lake Bengaluru","E (Irrigation, industrial cooling and controlled waste)",2.7,6.6,624.0,14.0,,7900.0,35000.0,,3(BDL),176.0,8.8,5(BDL),176.0,96.0,127.0,2.6,2.0,168.0,92.0,76.0,10,62.0,426.0,12,0.26,0.5(BDL),8.0,0.2(BDL),43.0,2.1,0.72,2023
5560,Dec,"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru","D (Propagation of wild life,fisheries)",5.9,7.1,1049.0,4.0,4.0,940.0,16000.0,,3(BDL),236.0,4.9,5(BDL),236.0,172.0,43.0,1.5(BDL),0.4,280.0,144.0,136.0,43,99.0,720.0,10(BDL),0.25,0.5(BDL),21.0,0.41,41.0,2.6,0.69,2023
5561,Dec,"Munekolalu Lake ,Marathahalli,
East Taluka ,Bengaluru","D (Propagation of wild life,fisheries)",4.8,8.4,540.0,8.0,2.0,7900.0,35000.0,,3(BDL),88.0,28.6,5(BDL),88.0,72.0,92.0,1.5(BDL),0.51,92.0,52.0,40.0,21,34.0,366.0,36,0.2(BDL),0.5(BDL),2.0,0.28,43.0,1.3,0.05(BDL),2023
5562,Dec,"MahadevpuraÂ   Lake,
K. R. Puram ,Bangalore East Taluka","D (Propagation of wild life,fisheries)",4.1,8.2,589.0,10.0,2.0,4300.0,54000.0,,3(BDL),144.0,31.2,5(BDL),144.0,88.0,120.0,1.5(BDL),0.92,120.0,64.0,56.0,19,49.0,400.0,40,0.46,0.5(BDL),4.0,0.21,45.0,1.9,1.4,2023
5563,Dec,"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East","E (Irrigation, industrial cooling and controlled waste)",1.6,7.1,872.0,12.0,4.0,4800.0,54000.0,,3(BDL),208.0,26.2,5(BDL),208.0,100.0,128.0,3.4,2.6,216.0,112.0,104.0,26,97.0,592.0,34,2.12,0.5(BDL),7.0,0.27,43.0,2.0,6.5,2023
5564,Dec,"Kannamangala Lake Hoskote Main Road , Bengalore","D (Propagation of wild life,fisheries)",5.2,7.6,1781.0,6.0,4.0,7900.0,35000.0,,3(BDL),188.0,10.2,5(BDL),188.0,372.0,52.0,1.5(BDL),0.48,308.0,160.0,148.0,41,156.0,1212.0,12,0.24,0.5(BDL),13.0,0.31,50.0,4.0,0.73,2023
5565,Dec,"Kannur Lake Near By
Hennur Road Bengalore","D (Propagation of wild life,fisheries)",5.4,8.2,662.0,8.0,1.9,840.0,9200.0,,3(BDL),116.0,9.2,5(BDL),116.0,152.0,77.0,1.5(BDL),0.83,76.0,44.0,32.0,24,64.0,460.0,10(BDL),0.2(BDL),0.5(BDL),16.0,0.2(BDL),35.0,3.2,0.3,2023
5566,Dec,"Basavanapura Lake Ayyappa
Nagr Main Road , K.R.Puram,Bengaluru","D (Propagation of wild life,fisheries)",4.7,7.2,467.0,7.0,2.0,700.0,5400.0,,3(BDL),116.0,6.8,5(BDL),116.0,52.0,60.0,1.5(BDL),0.4,136.0,72.0,64.0,22,39.0,316.0,10(BDL),0.2(BDL),0.5(BDL),3.0,0.25,37.0,1.0,0.42,2023
5567,Dec,"Doddakallasandra Lake,Bengaluru","D (Propagation of wild life,fisheries)",5.2,7.1,402.0,7.0,2.0,3300.0,35000.0,,3(BDL),100.0,9.8,5(BDL),100.0,48.0,72.0,1.5(BDL),0.58,80.0,44.0,36.0,5(BDL),41.0,276.0,12,0.2(BDL),0.5(BDL),21.0,0.29,46.0,2.0,0.05(BDL),2023
5568,Dec,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",5.1,8.2,341.0,7.0,1.0,490.0,5400.0,,3(BDL),68.0,23.8,5(BDL),68.0,40.0,88.0,1.5(BDL),0.66,104.0,60.0,44.0,24,48.0,232.0,28,0.2(BDL),0.5(BDL),13.0,0.2(BDL),46.0,2.0,0.43,2023
5569,Dec,"Byrasandra Upper Lake,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",3.2,6.7,537.0,17.0,2.0,1700.0,24000.0,,3(BDL),132.0,8.3,5(BDL),132.0,40.0,128.0,5.89,4.5,72.0,44.0,28.0,18,48.0,362.0,12,0.71,0.5(BDL),13.0,0.2(BDL),54.0,2.0,1.87,2023
5570,Dec,"Soulkere, Kaikondrahalli Vill,
Bengaluru","E (Irrigation, industrial cooling and controlled waste)",3.2,6.6,800.0,14.0,3.0,4300.0,54000.0,,3(BDL),184.0,6.9,5(BDL),184.0,132.0,120.0,3.3,2.7,216.0,112.0,104.0,33,16.0,556.0,10(BDL),0.51,0.5(BDL),16.0,0.27,40.0,2.0,1.46,2023
5571,Dec,"Kudlu Doddakere,
Kudlu Vill,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",1.1,6.5,612.0,40.0,2.35,4000.0,54000.0,,3(BDL),140.0,24.2,5(BDL),140.0,100.0,200.0,7.6,6.1,164.0,84.0,80.0,25,59.0,420.0,26,1.53,0.5(BDL),12.0,0.2(BDL),42.0,2.0,4.38,2023
5572,Dec,"Kudlu Chikkakere, Bgp Layout
Kudlu Vill ,Bengaluru","D (Propagation of wild life,fisheries)",4.6,7.1,850.0,4.0,3.4,4900.0,35000.0,,3(BDL),196.0,16.1,5(BDL),196.0,140.0,44.0,1.5(BDL),0.72,228.0,120.0,108.0,35,78.0,588.0,20,0.29,0.5(BDL),17.0,0.29,40.0,2.2,0.83,2023
5574,Dec,"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru","D (Propagation of wild life,fisheries)",5,7.0,406.0,7.0,2.0,4100.0,92000.0,,3(BDL),100.0,9.5,5(BDL),100.0,52.0,72.0,1.5(BDL),0.49,80.0,44.0,36.0,5(BDL),41.0,280.0,12,0.2(BDL),0.5(BDL),18.0,0.28,46.0,2.0,0.14,2023
