"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,"Temperature
°C",Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/c m),"BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/100ml)","Total Coliform (MPN/100ml)","Fecal Streptococci (MPN/100ml
)","Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (NTU),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca (mg/L),Mg as CaCo3 (mg/L),Mg (mg/L),Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids (mg/L),Total Suspended Solids (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
3626,Jun,Nagavara Lake,D,24.0,5.3,7.6,600,8.0,2.3,0.02(BDL),320,2100,,3(BDL),156,5.2,5(BDL),156,84,95,1.5(BDL),0.91,176,88,35,88,21,17,63,414,10(BDL),0.2(BDL),0.5(BDL),12,0.31,42,2.1,0.36,2025
3627,Jun,Jakkur Lake,E,27.0,2.4,7.0,858,22.0,3.3,0.22,330,3500,,3(BDL),196,47.0,5(BDL),196,144,160,11.0,8.5,216,108,43,108,26,12,97,588,56,1.6,0.5(BDL),14,0.34,47,2.9,3.9,2025
3628,Jun,Amruthahalli Lake,D,20.0,5.9,6.9,583,6.0,2.2,0.02(BDL),14000,46000,,3(BDL),160,2.6,5(BDL),160,80,71,1.5(BDL),0.4,176,88,35,88,21,7,64,402,10(BDL),0.2(BDL),0.5(BDL),10,0.27,43,2.1,0.21,2025
3629,Jun,Allalasandra Lake,E,25.0,2.4,7.3,733,22.0,2.8,0.15,430,4300,,3(BDL),172,33.0,5(BDL),172,112,164,11.0,8.4,196,100,40,96,23,14,84,502,40,0.96,0.5(BDL),10,0.32,63,2.6,2.3,2025
3630,Jun,Yelahanka Tank,E,24.0,2.4,7.1,844,22.0,3.2,0.02(BDL),630,2200,,3(BDL),188,47.6,5(BDL),188,132,171,11.2,8.6,208,104,42,104,25,17,95,574,58,1.5,0.5(BDL),11,0.33,48,2.9,3.5,2025
3633,Jun,Subramanyapura Tank,E,29.4,2.9,7.9,801,28.0,3.1,0.21,2500,5800,,3(BDL),216,66.2,5(BDL),216,116,184,11.3,8.6,200,108,43,92,22,41,92,538,82,1,0.5(BDL),16,0.37,49,3.0,2.8,2025
3634,Jun,Devarakere Tank,D,29.8,4.6,8.2,384,7.0,1.6,0.66,1200,6300,,3(BDL),108,6.6,5(BDL),108,36,88,1.5(BDL),0.51,128,72,29,56,14,14,37,260,10(BDL),0.2(BDL),0.5(BDL),8,0.23,36,1.0,0.05(BDL),2025
3635,Jun,Malathahalli Lake,D,22.8,5.4,7.3,470,6.0,2.0,0.02(BDL),2600,14000,,3(BDL),160,20.2,5(BDL),160,20,64,1.5(BDL),0.4,196,104,42,92,22,33,31,318,26,0.2(BDL),0.5(BDL),9,0.2(BDL),24,1.0,0.05(BDL),2025
3636,Jun,Hoskere Lake,D,24.5,5.1,7.1,276,7.0,1.1,0.62,2000,9400,,3(BDL),96,4.6,5(BDL),96,20,68,1.5(BDL),0.4,88,52,21,36,9,14,15,188,10(BDL),0.29,0.5(BDL),6,0.2(BDL),25,0.69,0.83,2025
3638,Jun,Yelachenahalli Lake,D,29.1,6.8,7.4,433,4.0,1.7,0.37,240,3500,,3(BDL),136,9.6,5(BDL),136,56,48,1.6,1.2,124,64,26,60,15,7,43,296,12,0.2(BDL),0.5(BDL),2,0.2(BDL),42,1.7,0.17,2025
3639,Jun,Kengeri Tank,D,26.7,5.6,7.8,652,6.0,2.7,0.02(BDL),1700,7900,,3(BDL),184,21.8,5(BDL),184,84,60,1.5(BDL),0.4,168,92,37,76,18,11,70,440,28,0.2(BDL),0.5(BDL),7,0.29,50,3.0,0.42,2025
3640,Jun,Uttarahalli Doraikere,D,29.0,5.8,8.2,194,5.0,0.69,0.25,2200,8400,,3(BDL),76,34.6,5(BDL),76,16,64,1.5(BDL),0.4,84,48,19,36,9,8,8,130,42,0.2(BDL),0.5(BDL),3,0.2(BDL),16,0.38,0.34,2025
3641,Jun,Dhorekere Tank,D,26.0,4.9,8.3,870,14.0,3.3,0.02(BDL),260,3500,,32,156,36.5,16,172,140,136,1.5(BDL),0.4,184,96,38,88,21,39,85,584,46,1.01,0.5(BDL),2,0.22,50,2.7,2.4,2025
3642,Jun,Jigani Tank,D,27.0,5.5,7.5,949,8.0,3.6,0.02(BDL),310,4300,,3(BDL),240,7.0,5(BDL),240,196,74,1.5(BDL),0.41,248,124,50,124,30,5(BDL),103,642,10(BDL),0.2(BDL),0.5(BDL),4,0.38,47,2.9,0.05(BDL),2025
3643,Jun,Benniganahalli Lake,E,25.0,0.3(BDL),8.2,504,12.0,1.93,0.02(BDL),310,3500,,3(BDL),80,32.8,5(BDL),80,68,64,1.5(BDL),0.4,96,66,26,30,7,29,56,348,44,0.2(BDL),0.5(BDL),17,0.37,51,2.47,0.05(BDL),2025
3655,Jun,Mathikere Tank,D,27.0,5.9,7.4,202,4.0,1.0,0.02(BDL),170,4300,,3(BDL),40,8.8,5(BDL),40,28,40,1.5(BDL),0.4,48,28,11,20,5,8,18,138,12,0.2(BDL),0.5(BDL),4,0.2(BDL),42,1.13,0.05(BDL),2025
4094,Jun,Gangondanahalli Lake,D,26.0,5.4,7.2,588,6.0,2.3,0.02(BDL),17000,46000,,3(BDL),140,30.0,5(BDL),140,100,58,1.5(BDL),0.6,164,84,34,80,19,35,62,440,60,0.2(BDL),0.5(BDL),6,0.3,31,2.1,0.3,2025
4095,Jun,Chikkabanavara Lake,E,26.0,3.4,7.2,620,16.0,2.4,0.02(BDL),840,2100,,3(BDL),148,32.0,5(BDL),148,107,116,3.2,2.5,172,88,35,84,20,20,58,422,54,0.4,0.5(BDL),6,0.3,29,1.9,0.9,2025
4096,Jun,Andhrahalli Lake,E,26.0,0.3(BDL),7.4,1303,73.0,5.0,0.26,25000,58000,,3(BDL),300,10.4,5(BDL),300,220,352,28.0,24.0,352,180,72,172,42,53,128,888,14,0.6,0.5(BDL),26,0.31,42,2.96,1.71,2025
4097,Jun,Kachohalli Lake,D,26.0,4.8,6.8,1180,5.0,4.5,0.02(BDL),2300,9400,,3(BDL),280,28.0,5(BDL),280,204,48,1.5(BDL),0.4,324,168,67,156,38,30,116,800,38,0.2(BDL),0.5(BDL),10,0.28,30,2.8,0.2,2025
4504,Jun,Sarakki Lake,D,28.1,6.6,7.9,626,5.0,2.4,0.16,25,920,,3(BDL),148,12.7,5(BDL),148,112,52,1.8,1.4,132,68,27,27,7,22,78,426,16,0.2(BDL),0.5(BDL),2,0.28,55,3.0,0.18,2025
4505,Jun,Nelamangala Lake,D,28.0,5.5,7.0,895,6.0,3.4,0.21,12000,41000,,3(BDL),288,15.5,5(BDL),288,168,71,1.5(BDL),0.4,276,144,58,132,32,9,87,612,20,0.2(BDL),0.5(BDL),2,0.41,40,2.3,0.48,2025
4506,Jun,Abbigere Lake,D,26.0,6.0,8.2,624,4.0,2.5,0.02(BDL),310,2800,,3(BDL),140,4.9,5(BDL),140,80,44,1.5(BDL),0.55,176,92,37,84,20,19,52,422,10(BDL),0.2(BDL),0.5(BDL),3,0.2(BDL),39,1.71,0.3,2025
4507,Jun,Chelekere Lake,D,31.0,6.0,7.5,380,5.0,1.5,0.02(BDL),310,1700,,3(BDL),104,5.2,5(BDL),104,60,58,1.5(BDL),0.51,128,64,26,64,16,8,38,264,10(BDL),0.2(BDL),0.5(BDL),5,0.3,37,1.5,0.05(BDL),2025
4508,Jun,Singapura Lake,D,31.0,6.0,7.4,385,5.0,1.5,0.02(BDL),340,2400,,3(BDL),116,4.7,5(BDL),116,56,65,1.5(BDL),0.4,140,72,29,68,17,8,39,266,10(BDL),0.2(BDL),0.5(BDL),5,0.29,36,1.4,0.13,2025
4509,Jun,Narasipura Lake,E,30.0,3.1,7.4,558,6.0,2.14,0.1,320,3500,,3(BDL),140,22.4,5(BDL),140,80,64,1.5(BDL),0.4,140,80,32,60,15,18,59,374,30,0.2(BDL),0.5(BDL),14,0.24,45,2.17,0.42,2025
4510,Jun,Rachenahalli Lake,E,28.0,2.2,7.1,961,24.0,3.7,0.43,260,1500,,3(BDL),228,76.2,5(BDL),228,168,178,11.8,9.1,228,116,46,112,27,20,109,658,88,1.3,0.5(BDL),15,0.36,49,3.1,3,2025
4511,Jun,Kogilu Kere,D,30.0,5.9,7.5,360,6.0,1.4,0.02(BDL),310,2800,,3(BDL),108,5.0,5(BDL),108,56,68,1.5(BDL),0.4,108,56,22,52,13,8,38,248,10(BDL),0.2(BDL),0.5(BDL),6,0.3,41,1.6,0.14,2025
4512,Jun,Viswaneedam Lake,E,26.0,2.9,6.9,622,18.0,2.4,0.02(BDL),14000,110000,,3(BDL),140,120.4,5(BDL),140,100,176,2.5,2.1,164,84,34,80,19,25,61,420,132,0.2(BDL),0.5(BDL),13,0.24,42,2.07,0.24,2025
4513,Jun,Ramammana Kere,D,26.0,5.8,7.2,380,6.0,1.5,0.02(BDL),260,2200,,3(BDL),88,8.0,5(BDL),88,65,58,1.5(BDL),0.6,104,56,22,48,12,20,40,258,16,0.2(BDL),0.5(BDL),5,0.31,31,1.7,0.3,2025
4514,Jun,Sadaramangala Lake,D,26.0,5.0,7.6,521,7.0,2.0,0.02(BDL),2100,13000,,3(BDL),124,20.0,5(BDL),124,88,74,1.5(BDL),0.4,144,76,30,68,17,25,52,354,38,0.2(BDL),0.5(BDL),8,0.3,41,1.9,0.3,2025
4515,Jun,Bhattarahalli Lake,D,26.0,5.9,8.2,811,5.0,3.4,0.43,310,2800,,3(BDL),116,7.0,5(BDL),116,152,64,1.5(BDL),0.4,84,48,19,19,5,15,100,542,10(BDL),0.2(BDL),0.5(BDL),16,0.53,67,5.0,0.05(BDL),2025
4516,Jun,Kundalahalli Lake,D,26.0,4.6,7.7,708,7.0,2.7,0.02(BDL),480,3500,,3(BDL),160,16.8,5(BDL),160,116,84,1.5(BDL),0.84,192,100,40,40,10,29,69,482,20,0.2(BDL),0.5(BDL),15,0.31,42,2.16,0.32,2025
4517,Jun,Kowdhenahalli Tank,E,26.0,3.2,7.1,670,22.0,3.0,0.1,2600,7000,,3(BDL),148,22.8,5(BDL),148,60,168,2.5,2.0,152,84,34,68,17,19,64,440,28,0.7,0.5(BDL),16,0.22,44,2.0,1.7,2025
4518,Jun,Garudacharpalya Tank,D,25.0,5.0,7.1,640,6.0,2.8,0.02(BDL),3200,9400,,3(BDL),120,28.0,5(BDL),120,84,72,1.5(BDL),0.4,140,80,32,60,15,24,54,430,42,0.2(BDL),0.5(BDL),6,0.28,43,1.8,0.26,2025
4519,Jun,Rampura Lake,E,26.0,2.6,7.2,873,19.0,3.3,0.02(BDL),24,220,,3(BDL),236,9.5,5(BDL),236,116,126,2.9,2.3,216,112,45,104,25,7,82,596,12,0.27,0.5(BDL),2,0.33,45,2.5,0.65,2025
4520,Jun,Chinnappanahalli Lake,D,26.0,4.5,7.8,702,7.0,2.6,0.02(BDL),310,2200,,3(BDL),156,18.2,5(BDL),156,112,76,1.5(BDL),0.8,188,96,38,92,22,28,68,474,24,0.2(BDL),0.5(BDL),14,0.25,42,2.25,0.3,2025
4521,Jun,Devarabeesanahalli Lake,D,27.0,5.2,7.6,1694,10.0,6.5,0.66,110,2400,,3(BDL),188,2.9,5(BDL),188,348,112,1.5(BDL),0.4,288,148,59,140,34,26,184,1134,10(BDL),0.95,0.5(BDL),3,0.27,58,5.0,2.2,2025
4522,Jun,Vibhuthipura Lake,D,25.0,4.2,8.4,589,7.0,9.6,0.29,1200,7900,,8,184,31.3,5(BDL),188,60,84,1.5(BDL),0.91,184,96,38,88,21,14,41,398,38,0.51,0.5(BDL),3,0.28,53,1.31,1.48,2025
4523,Jun,Nallurahalli Lake,D,26.0,5.5,7.08,598,6.0,2.0,0.02(BDL),170,1500,,3(BDL),136,23.0,5(BDL),136,112,61,1.5(BDL),0.4,124,64,26,60,15,26,57,407,44,0.2(BDL),0.5(BDL),10,0.32,31,2.2,0.29,2025
4524,Jun,Pattandur Agrahara Lake,E,26.0,2.6,7.3,1705,16.0,4.6,0.08,2100,14000,,3(BDL),400,22.0,5(BDL),400,292,156,1.8,1.5,468,236,94,232,56,53,116,1150,42,0.6,0.5(BDL),20,0.28,44,2.3,0.13,2025
4525,Jun,Seetharampalya Lake,D,26.0,5.2,7.3,1137,8.0,2.6,0.02(BDL),3100,8400,,3(BDL),180,38.0,5(BDL),180,196,80,1.5(BDL),0.4,220,112,45,108,26,24,110,770,52,0.2(BDL),0.5(BDL),18,0.25,39,3.2,0.26,2025
4526,Jun,Devasandra Lake,D,25.0,5.4,8.0,587,6.0,2.8,0.23,1700,7900,,3(BDL),92,19.4,5(BDL),92,96,56,1.5(BDL),0.4,100,56,22,44,11,19,74,396,26,0.2(BDL),0.5(BDL),18,0.35,57,3.0,0.05(BDL),2025
4527,Jun,Sheelavanta-Whitefield Lake,E,25.0,2.8,7.06,1719,16.0,6.6,0.02(BDL),1500,17000,,3(BDL),408,58.0,5(BDL),408,296,163,3.1,2.8,404,208,83,196,48,47,170,1160,80,0.54,0.5(BDL),18,0.3,54,3.7,0.3,2025
4528,Jun,Doddakannehalli Lake,D,24.0,5.2,7.7,1696,9.0,6.5,0.02(BDL),380,4300,,3(BDL),176,2.6,5(BDL),176,340,96,1.5(BDL),0.4,256,132,53,124,30,36,186,1136,10(BDL),1.1,0.5(BDL),3,0.28,61,5.0,2.6,2025
4529,Jun,Kasavanahalli Lake,D,26.0,6.0,7.6,812,5.0,3.1,0.27,110,2400,,3(BDL),128,6.3,5(BDL),128,136,58,1.5(BDL),0.4,136,72,29,64,16,20,89,550,10(BDL),0.2(BDL),0.5(BDL),2,0.28,58,3.4,0.05(BDL),2025
4530,Jun,Kammasandra Lake,D,22.0,6.4,7.5,530,5.0,2.0,0.29,210,3500,,3(BDL),172,36.2,5(BDL),172,96,68,1.5(BDL),0.4,128,64,26,64,16,17,57,366,40,,0.5(BDL),7,0.3,47,2.2,0.05(BDL),2025
4531,Jun,Rayasandra Lake,E,20.0,0.6,7.6,1811,67.0,6.9,0.52,2400,14000,,3(BDL),420,20.6,5(BDL),420,300,348,27.0,23.0,492,248,99,244,59,74,145,1230,26,0.67,0.5(BDL),36,0.2(BDL),37,2.84,1.93,2025
4532,Jun,Chandapura Lake,E,20.0,0.8,7.7,2200,45.0,8.4,0.64,2100,17000,,3(BDL),508,13.9,5(BDL),508,360,256,14.0,10.0,600,304,122,296,72,90,182,1490,18,0.53,0.5(BDL),44,0.2(BDL),37,3.23,1.52,2025
4533,Jun,Ullalu Lake,D,24.3,6.0,6.5,178,4.0,0.81,0.47,2400,17000,,3(BDL),60,10.2,5(BDL),60,8,44,1.5(BDL),0.4,60,36,14,24,6,7,6,114,14,0.2(BDL),0.5(BDL),4,0.2(BDL),17,0.34,0.05(BDL),2025
4534,Jun,Sompura Lake,D,25.3,5.2,6.8,740,5.0,3.0,0.02(BDL),140,1700,,3(BDL),216,12.2,5(BDL),216,64,52,1.5(BDL),0.4,156,84,34,72,18,38,60,508,14,0.2(BDL),0.5(BDL),3,0.43,44,2.09,0.05(BDL),2025
4535,Jun,Gubbalal Lake,E,29.7,3.1,6.9,418,16.0,1.3,0.78,260,2100,,3(BDL),108,6.2,5(BDL),108,16,116,2.0,1.6,112,60,24,52,13,8,22,282,10(BDL),0.2(BDL),0.5(BDL),2,0.2(BDL),29,0.9,0.05(BDL),2025
4536,Jun,Hosakerehalli Lake,E,29.5,0.4,6.5,587,66.0,2.0,0.02(BDL),1400,7000,,3(BDL),216,30.2,5(BDL),216,28,352,5.3,4.2,164,88,35,76,18,7,37,398,38,0.23,0.5(BDL),2,0.22,33,1.25,0.65,2025
4537,Jun,Chinnakurchi Kere,D,31.0,4.8,6.7,163,8.0,0.64,0.02(BDL),1400,4800,,3(BDL),60,184.0,5(BDL),60,12,88,1.5(BDL),0.4,56,36,14,20,5,5(BDL),9,110,202,0.2(BDL),0.5(BDL),6,0.2(BDL),24,0.52,0.05(BDL),2025
4538,Jun,Machohalli Lake,E,26.0,2.6,7.0,1200,8.0,4.6,0.02(BDL),260,1700,,3(BDL),284,12.0,5(BDL),284,208,84,5.2,4.0,332,168,67,164,40,28,124,824,28,0.3,0.5(BDL),12,0.26,31,3.0,1,2025
4539,Jun,Doddabidarakallu Lake,E,26.0,0.3(BDL),7.4,1400,16.0,5.4,0.02(BDL),4300,14000,,3(BDL),332,32.0,5(BDL),332,240,126,15.6,1.2,388,200,80,188,46,50,136,968,46,0.3,0.5(BDL),20,0.32,29,3.0,0.9,2025
4540,Jun,Kammagondanahalli Lake,E,25.0,1.5,6.5,498,28.0,2.0,0.02(BDL),48000,350000,,3(BDL),140,6.8,5(BDL),140,48,196,3.4,2.7,136,72,29,64,16,19,40,388,10(BDL),0.57,0.5(BDL),3,0.2(BDL),38,1.49,1.66,2025
4541,Jun,Alur Lake,E,26.0,3.2,6.8,420,8.0,1.6,0.02(BDL),1400,11000,,3(BDL),100,14.0,5(BDL),100,72,89,1.6,1.2,116,60,24,56,14,12,42,286,12,0.4,0.5(BDL),4,0.28,30,1.7,0.9,2025
4542,Jun,Basavanapura Lake,D,27.0,5.2,7.1,556,10.0,2.1,0.63,2100,9400,,3(BDL),144,16.2,5(BDL),144,104,108,2.0,1.5,100,52,21,48,12,9,73,384,22,0.2(BDL),0.5(BDL),4,0.36,60,3.2,0.18,2025
4543,Jun,Kodi Singasandra Lake,E,27.0,0.3(BDL),7.7,1589,12.0,6.1,0.02(BDL),1100,13000,,3(BDL),188,12.4,5(BDL),188,336,120,1.7,0.4,228,124,50,104,25,71,257,1074,18,0.2(BDL),0.5(BDL),4,0.66,71,7.41,0.05(BDL),2025
4544,Jun,Kothanuru Lake,D,27.0,5.8,8.2,426,5.0,1.64,0.02(BDL),140,2400,,3(BDL),100,12.4,5(BDL),100,44,48,1.5(BDL),0.4,100,56,22,44,11,24,52,284,18,0.2(BDL),0.5(BDL),2,0.45,52,2.28,0.05(BDL),2025
4547,Jun,Mangamanapalya Lake (Swarana Kunte),D,24.0,6.0,7.7,791,5.0,12.4,0.08,200,2100,,3(BDL),112,8.2,5(BDL),112,128,48,1.5(BDL),0.4,144,76,30,68,17,35,58,536,10(BDL),0.2(BDL),0.5(BDL),3,0.35,46,2.1,0.15,2025
5558,Jun,"Kannahalli Lake Kannahalli, Bengaluru",D,26.0,5.2,6.9,498,5.0,1.9,0.02(BDL),140,2400,,3(BDL),116,38.0,5(BDL),116,84,52,1.5(BDL),0.4,136,72,29,64,16,22,44,340,44,0.2(BDL),0.5(BDL),4,0.3,57,1.6,0.3,2025
5559,Jun,"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru",E,26.0,0.9,6.5,828,32.0,3.3,0.02(BDL),14000,120000,,3(BDL),244,16.8,5(BDL),244,92,232,4.7,3.8,212,112,45,100,24,8,72,560,20,1.1,0.5(BDL),5,0.2(BDL),42,2.15,3.14,2025
5560,Jun,"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru",E,26.0,3.0,7.9,532,8.0,2.0,0.02(BDL),2300,7000,,3(BDL),116,66.0,5(BDL),116,112,84,2.3,1.8,168,88,35,80,19,24,50,362,88,0.2(BDL),0.5(BDL),6,0.28,35,1.7,0.37,2025
5561,Jun,"Munekolalu Lake ,Marathahalli, East Taluka ,Bengaluru",D,25.0,4.5,8.6,482,7.0,8.3,0.73,260,2100,,8,100,34.6,5(BDL),104,68,76,1.5(BDL),0.88,156,84,34,72,18,18,33,328,42,0.44,0.5(BDL),3,0.23,35,1.15,1.27,2025
5562,Jun,"Mahadevpuraâ  Lake, K. R. Puram , Bangalore East Taluka",D,26.0,4.8,7.04,511,8.0,2.0,0.02(BDL),580,4300,,3(BDL),120,15.0,5(BDL),120,88,78,1.5(BDL),0.4,140,72,29,68,17,24,48,348,30,0.2(BDL),0.5(BDL),6,0.31,43,1.8,0.24,2025
5563,Jun,"Segehalli Lake Baavanapura Road Battarahalli
, Bangalore East",D,26.0,5.0,7.5,485,7.0,2.4,0.08,140,2400,,3(BDL),108,4.3,5(BDL),108,60,68,1.5(BDL),0.68,108,60,24,48,12,12,60,328,10(BDL),0.2(BDL),0.5(BDL),15,0.36,50,3.0,0.2,2025
5564,Jun,"Kannamangala Lake Hoskote Main Road, Bengalore",D,25.0,5.6,7.6,383,6.0,1.7,0.02(BDL),230,4300,,3(BDL),84,6.8,5(BDL),84,36,56,1.5(BDL),0.4,104,60,24,44,11,22,32,258,10(BDL),0.2(BDL),0.5(BDL),9,0.2(BDL),37,1.0,0.16,2025
5565,Jun,Kannur Lake Near By Hennur Road Bengalore,E,25.0,0.3(BDL),7.9,3560,42.0,13.6,0.08,170,700,,3(BDL),1560,5.6,5(BDL),1560,710,280,3.3,2.6,400,200,80,200,49,31,456,2400,10(BDL),0.74,0.5(BDL),43,0.36,68,9.9,1.75,2025
