"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Temperature° C,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/ cm),"BOD
(mg/L)",NitrateN (mg/L),NitriteN (mg/L),"Fecal Coliform (MPN/100ml)","Total Coliform (MPN/100ml)","Carbonate (CO3-)
(mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity NTU,"Phenolphthalein Alkalinity
(mg/L)",Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)","Total Kjeldahl Nitrogen
(mg/L)",Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Calcium as Ca (mg/L),Mg as CaCo3 (mg/L),Magnesium as Mg (mg/L),Sulphate (mg/L),Sodium (mg/L),"Total Dissolved Solids
(mg/L)","Total Suspended Solids
(mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
3622,Jul,Somasundrapalya Lake,D,26.0,5.0,7.0,794,9.0,3.0,0.69,260,4300,BDL,264,BDL,BDL,264,80,96,1.83,1.4,244,124,49.6,120,29.2,15,87,548,BDL,1,BDL,9,0.31,42.0,2.4,2.3,2025
3623,Jul,Anekal Doddakere Tank,D,23.0,4.5,7.5,1295,7.0,4.96,BDL,2100,11000,BDL,256,23.5,BDL,256,208,88,BDL,0.4,252,76,30.4,176,42.8,8,130,856,32,BDL,BDL,20,0.31,51.0,3.59,BDL,2025
3624,Jul,Puttenahalli Lake,D,30.0,4.2,7.0,495,6.0,1.9,0.14,26,1600,BDL,96,12.5,BDL,96,104,60,BDL,0.4,120,82,32.8,38,9.2,10,48,338,18,0.21,BDL,10,0.21,44.0,1.91,0.54,2025
3625,Jul,Hebbal Lake,D,31.0,6.8,8.1,401,5.0,1.5,BDL,14,94,BDL,116,17.4,BDL,116,36,48,BDL,0.58,104,56,22.4,48,11.7,9,39,270,22,BDL,BDL,9,0.3,42.0,1.66,BDL,2025
3626,Jul,Nagavara Lake,D,30.0,4.5,7.2,632,8.0,2.5,BDL,1400,13000,BDL,132,6.6,BDL,132,60,76,BDL,0.93,148,80,32.0,68,16.5,27,60,420,BDL,BDL,BDL,15,0.37,44.0,2.1,0.29,2025
3627,Jul,Jakkur Lake,E,30.0,2.2,7.3,1075,27.0,4.3,BDL,200,7000,BDL,192,64.4,BDL,192,136,192,8.2,6.2,216,116,46.4,100,24.3,24,96,720,80,1.4,BDL,23,0.38,46.0,2.8,4.2,2025
3628,Jul,Amruthahalli Lake,D,29.0,5.1,7.3,666,7.0,2.7,BDL,130,2400,BDL,164,33.3,BDL,164,76,68,BDL,0.71,164,88,35.2,76,18.5,12,63,446,42,BDL,BDL,8,BDL,44.0,2.1,0.27,2025
3629,Jul,Allalasandra Lake,D,28.0,4.1,7.4,498,5.0,1.91,0.09,1400,7900,BDL,88,13.1,BDL,88,84,56,BDL,0.4,124,80,32.0,44,10.7,12,50,338,18,0.34,BDL,8,0.31,45.0,1.95,0.8,2025
3630,Jul,Yelahanka Tank,D,30.0,4.9,7.0,636,7.0,2.8,0.05,310,2800,BDL,136,53.6,BDL,136,68,72,BDL,0.84,168,92,36.8,76,18.5,23,62,426,66,0.24,BDL,18,0.28,41.0,2.0,0.68,2025
3633,Jul,Subramanyapura Tank,E,29.6,3.2,8.0,1211,17.0,4.6,6,6800,33000,BDL,288,33.4,BDL,288,148,112,BDL,0.85,280,144,57.6,136,33.1,17,108,820,42,1.15,BDL,11,0.41,44.0,2.8,2.72,2025
3634,Jul,Devarakere Tank,D,24.8,5.8,7.5,771,5.0,2.9,0.14,13000,58000,BDL,216,2.8,BDL,216,48,52,BDL,0.4,180,96,38.4,84,20.4,8,53,522,BDL,0.22,BDL,5,0.3,38.0,1.7,0.53,2025
3635,Jul,Malathahalli Lake,D,24.0,5.9,7.6,628,5.0,2.8,BDL,260,1700,BDL,204,14.4,BDL,204,32,48,BDL,0.4,120,68,27.2,52,12.6,34,31,420,20,BDL,BDL,10,0.26,33.0,,0.27,2025
3636,Jul,Hoskere Lake,D,25.7,6.0,6.9,346,6.0,1.3,0.68,3200,9400,BDL,124,18.7,BDL,124,36,58,BDL,0.45,128,68,27.2,60,14.6,6,16,232,24,BDL,BDL,2,BDL,21.0,0.5,0.36,2025
3638,Jul,Yelachenahalli Lake,D,29.0,5.8,8.2,459,5.0,2.1,BDL,170,2400,BDL,108,2.6,BDL,108,52,64,BDL,0.4,120,68,27.2,52,12.6,17,51,310,BDL,BDL,BDL,8,0.25,46.0,2.0,0.34,2025
3639,Jul,Kengeri Tank,D,26.7,5.9,7.6,841,6.0,3.2,BDL,250,2800,BDL,252,4.7,BDL,252,104,65,BDL,0.4,212,112,44.8,100,24.3,15,89,578,BDL,0.28,BDL,9,0.35,46.0,2.7,0.66,2025
3640,Jul,Uttarahalli Doraikere,E,29.0,3.0,7.6,228,20.0,0.87,BDL,310,2100,BDL,104,234,BDL,104,32,136,1.71,0.9,96,52,20.8,44,10.7,12,32,164,304,BDL,BDL,3,BDL,41.0,1.4,0.25,2025
3641,Jul,Dhorekere Tank,E,26.4,3.4,8.5,359,24.0,1.3,BDL,1500,4800,32,116,200,16,132,36,152,BDL,0.71,156,84,33.6,72,17.5,25,22,252,260,0.37,BDL,3,BDL,23.0,0.7,0.87,2025
3642,Jul,Jigani Tank,E,30.0,BDL,7.7,1280,31.0,4.91,BDL,240,4300,BDL,252,29.1,BDL,252,216,170,3.22,23.0,248,72,28.8,176,42.8,6,134,852,38,BDL,BDL,35,0.33,49.0,3.61,0.08,2025
3643,Jul,Benniganahalli Lake,D,26.0,5.9,8.2,505,5.0,2.1,0.42,430,3500,BDL,76,4.5,BDL,76,108,64,BDL,0.4,108,60,24.0,48,11.7,38,55,342,BDL,BDL,BDL,16,0.5,16.0,2.3,0.31,2025
3655,Jul,Mathikere Tank,D,27.0,5.1,7.4,353,5.0,1.4,BDL,1700,4800,BDL,76,22.3,BDL,76,56,52,BDL,0.59,92,52,20.8,40,9.7,15,34,242,28,BDL,BDL,7,BDL,42.0,1.54,BDL,2025
4094,Jul,Gangondanahalli Lake,D,24.0,5.1,7.6,1603,8.0,6.2,0.36,23,280,BDL,210,5.6,BDL,210,364,84,BDL,0.91,470,240,96.0,230,55.9,9,223,1090,BDL,BDL,BDL,16,0.49,50.0,4.5,0.15,2025
4095,Jul,Chikkabanavara Lake,D,24.0,6.1,7.6,587,4.0,2.4,BDL,2100,14000,BDL,108,14.2,BDL,108,48,40,BDL,0.64,204,108,43.2,96,23.3,50,51,398,18,BDL,BDL,3,0.37,35.0,1.55,BDL,2025
4096,Jul,Andhrahalli Lake,E,23.0,BDL,7.3,1834,83.0,7.0,0.52,21000,170000,BDL,428,36,BDL,428,308,356,20,17.0,500,256,102.4,244,59.3,75,166,1232,42,0.26,BDL,37,38,40.0,3.23,0.76,2025
4097,Jul,Kachohalli Lake,E,29.0,BDL,7.1,1329,56.0,5.1,BDL,260,1400,BDL,460,32.4,BDL,460,180,220,49,38.0,440,220,88.0,220,53.5,24,106,904,42,3.2,BDL,27,0.25,33.0,2.2,7.6,2025
4504,Jul,Sarakki Lake,D,29.0,5.2,8.0,764,7.0,3.0,0.24,240,3500,BDL,128,4.4,BDL,128,96,72,BDL,0.4,120,68,27.2,52,12.6,37,84,510,BDL,BDL,BDL,22,0.36,55.0,3.0,0.22,2025
4505,Jul,Nelamangala Lake,D,28.0,6.1,6.9,1347,4.0,5.1,0.53,130,2400,BDL,312,8.8,BDL,312,224,40,BDL,0.76,364,188,75.2,176,42.8,55,128,914,12,0.32,BDL,27,0.41,41.0,2.91,0.94,2025
4506,Jul,Abbigere Lake,D,24.0,5.9,8.0,751,5.0,2.6,0.68,11,79,BDL,128,10.1,BDL,128,76,56,BDL,0.78,176,92,36.8,84,20.4,28,55,508,14,BDL,BDL,4,0.35,40.0,1.81,0.39,2025
4507,Jul,Chelekere Lake,E,30.0,3.2,7.1,826,16.0,3.5,0.52,2300,11000,BDL,160,29.1,BDL,160,92,112,2.1,1.6,228,120,48.0,108,26.3,25,80,548,36,0.84,BDL,19,0.4,41.0,2.3,2.4,2025
4508,Jul,Singapura Lake,D,29.0,5.4,7.8,572,6.0,2.2,BDL,170,3500,BDL,132,69,BDL,132,60,56,BDL,0.57,160,88,35.2,72,17.5,18,59,386,82,BDL,BDL,13,0.32,42.0,2.0,0.43,2025
4509,Jul,Narasipura Lake,E,28.0,3.0,6.8,922,18.0,3.4,0.27,240,4300,BDL,188,29.4,BDL,188,112,124,3.5,2.6,192,104,41.6,88,21.4,13,81,614,36,0.24,BDL,9,0.35,46.0,2.5,0.69,2025
4510,Jul,Rachenahalli Lake,E,30.0,1.7,7.3,1268,41.0,5.0,BDL,2000,12000,BDL,248,76.4,BDL,248,164,216,10.9,8.3,216,116,46.4,100,24.3,17,98,830,92,1.3,BDL,28,0.4,46.0,2.9,3.8,2025
4511,Jul,Kogilu Kere,D,30.0,4.4,7.2,637,8.0,2.6,BDL,1100,14000,BDL,136,5.9,BDL,136,68,92,BDL,0.9,152,84,33.6,68,16.5,25,63,428,BDL,BDL,BDL,16,0.38,44.0,2.2,0.38,2025
4512,Jul,Viswaneedam Lake,D,23.0,4.9,7.8,643,6.0,2.5,BDL,130,2400,BDL,144,17.8,BDL,144,104,60,BDL,0.55,172,92,36.8,80,19.4,26,63,438,22,BDL,BDL,13,0.31,42.0,2.08,0.24,2025
4513,Jul,Ramammana Kere,D,24.0,5.8,7.4,330,4.0,1.3,BDL,24000,350000,BDL,76,8.2,BDL,76,56,44,BDL,0.4,88,48,19.2,40,9.7,14,32,228,BDL,BDL,BDL,6,BDL,42.0,1.48,BDL,2025
4514,Jul,Sadaramangala Lake,D,26.0,6.6,7.9,592,4.0,2.27,BDL,430,2800,BDL,152,4.9,BDL,152,112,44,BDL,0.65,152,82,32.8,70,17.0,16,64,398,BDL,BDL,BDL,13,0.28,45.0,1.28,0.23,2025
4515,Jul,Bhattarahalli Lake,D,26.0,5.7,8.5,906,7.0,3.47,BDL,260,2800,24,144,16.7,12,156,172,80,BDL,0.4,116,64,25.6,52,12.6,9,103,622,20,BDL,BDL,18,0.61,61.0,4.4,0.18,2025
4516,Jul,Kundalahalli Lake,E,26.0,3.0,7.2,742,22.0,2.8,BDL,1500,13000,BDL,140,64.4,BDL,140,92,168,2.6,2.1,156,84,33.6,72,17.5,20,74,492,80,0.72,BDL,16,0.33,47.0,2.6,1.9,2025
4517,Jul,Kowdhenahalli Tank,D,25.0,4.5,7.6,762,8.0,3.5,0.05,3900,21000,BDL,180,21.4,BDL,180,184,92,BDL,0.89,184,100,40.0,84,20.4,15,72,514,28,0.3,BDL,18,0.25,43.0,2.3,0.84,2025
4518,Jul,Garudacharpalya Tank,D,25.0,5.4,7.2,717,7.0,2.75,0.03,450,7900,BDL,164,6.7,BDL,164,100,72,BDL,0.72,184,98,39.2,86,20.9,BDL,62,486,BDL,0.5,BDL,16,0.24,40.0,1.35,1.48,2025
4519,Jul,Rampura Lake,E,24.0,1.7,7.6,1210,54.0,4.6,0.12,430,3500,BDL,244,18.6,BDL,244,224,296,8.7,6.6,224,120,48.0,104,25.3,10,98,800,24,0.31,BDL,25,0.35,45.0,2.7,0.82,2025
4520,Jul,Chinnappanahalli Lake,E,26.0,2.4,7.4,843,42.0,3.3,BDL,17000,46000,BDL,132,4.2,BDL,132,124,228,3.3,2.5,128,72,28.8,56,13.6,13,94,558,BDL,0.36,BDL,16,0.61,58.0,3.6,0.98,2025
4521,Jul,Devarabeesanahalli Lake,D,26.0,5.4,7.6,819,6.0,3.3,0.2,170,2100,BDL,124,10.6,BDL,124,108,64,BDL,0.6,152,80,32.0,72,17.5,26,69,554,12,BDL,BDL,5,0.36,48.0,2.43,0.44,2025
4522,Jul,Vibhuthipura Lake,D,25.0,6.0,7.8,764,5.0,2.9,BDL,14,70,BDL,204,79.8,BDL,204,80,56,BDL,0.51,212,108,43.2,104,25.3,16,75,522,88,BDL,BDL,17,0.39,41.0,2.24,0.3,2025
4523,Jul,Nallurahalli Lake,E,26.0,3.1,7.3,1939,12.0,7.44,BDL,7800,46000,BDL,296,11.8,BDL,296,112,116,3.5,2.7,392,200,80.0,192,46.7,45,100,1294,14,0.36,BDL,14,0.39,34.0,2.2,1.09,2025
4524,Jul,Pattandur Agrahara Lake,D,25.0,5.6,7.5,2100,6.0,8.1,0.48,2,23,BDL,484,5.8,BDL,484,268,60,BDL,0.4,564,288,115.2,276,67.1,86,188,1418,BDL,1.35,BDL,47,0.37,39.0,3.44,3.9,2025
4525,Jul,Seetharampalya Lake,D,26.0,4.9,7.2,1289,7.0,4.95,0.12,1300,9400,BDL,248,12.3,BDL,248,84,75,BDL,0.92,280,144,57.6,136,33.1,21,110,874,16,1.52,BDL,27,0.33,43.0,1.67,4.62,2025
4526,Jul,Devasandra Lake,D,25.0,5.9,6.6,735,6.0,2.8,0.06,240,3500,BDL,248,9.8,BDL,248,84,68,BDL,0.4,228,120,48.0,108,26.3,9,57,504,12,0.83,BDL,8,0.22,34.0,1.0,1.96,2025
4527,Jul,Sheelavanta-Whitefield Lake,D,25.0,5.6,7.4,706,4.0,2.8,BDL,9300,49000,BDL,124,32.9,BDL,124,88,52,BDL,0.58,152,84,33.6,68,16.5,21,64,472,40,BDL,BDL,10,0.46,45.0,2.3,0.21,2025
4528,Jul,Doddakannehalli Lake,D,26.0,5.2,8.1,999,9.0,3.8,0.41,230,2400,24,100,3,12,112,188,98,BDL,0.4,160,84,33.6,76,18.5,20,107,684,BDL,BDL,BDL,11,0.41,57.0,3.8,0.24,2025
4529,Jul,Kasavanahalli Lake,D,26.0,5.0,7.8,652,9.0,2.5,BDL,380,1500,BDL,140,17.3,BDL,140,116,104,1.6,1.2,148,76,30.4,72,17.5,10,72,450,24,BDL,BDL,8,0.32,49.0,2.6,0.14,2025
4530,Jul,Kammasandra Lake,D,22.0,5.8,7.8,730,6.0,2.8,BDL,210,2200,BDL,164,5.2,BDL,164,116,60,BDL,0.73,192,100,40.0,92,22.4,30,72,492,BDL,BDL,BDL,15,0.28,43.0,2.26,0.32,2025
4531,Jul,Rayasandra Lake,E,20.0,0.8,7.7,2370,83.0,9.1,0.91,9300,49000,BDL,548,16.6,BDL,548,388,364,29,24.0,644,328,131.2,316,76.8,97,190,1606,22,0.49,BDL,47,0.29,37.0,3.25,1.45,2025
4532,Jul,Chandapura Lake,E,20.0,0.8,8.0,2210,34.0,8.9,0.75,310,2800,BDL,384,26.2,BDL,384,340,240,12,9.9,544,276,110.4,268,65.2,26,172,1498,32,0.52,BDL,13,0.34,40.0,3.2,1.49,2025
4533,Jul,Ullalu Lake,D,24.8,6.2,7.0,187,4.0,0.71,0.05,310,3500,BDL,80,15.4,BDL,80,28,48,BDL,0.4,96,52,20.8,44,10.7,BDL,6,148,20,BDL,BDL,BDL,BDL,12.0,0.2,0.19,2025
4534,Jul,Sompura Lake,D,29.8,4.9,7.6,560,10.0,2.1,BDL,240,4300,BDL,212,25.3,BDL,212,68,108,BDL,0.79,136,68,27.2,68,16.5,23,59,384,32,BDL,BDL,7,0.5,47.0,2.2,0.14,2025
4535,Jul,Gubbalal Lake,D,25.7,4.2,6.5,250,14.0,1.0,BDL,6800,33000,BDL,80,27.7,BDL,80,24,144,1.6,1.2,96,48,19.2,48,11.7,9,26,172,38,BDL,BDL,4,0.26,36.0,1.1,0.24,2025
4536,Jul,Hosakerehalli Lake,D,27.8,4.0,6.7,481,10.0,1.9,0.1,200,2800,BDL,212,6.7,BDL,212,40,108,BDL,0.82,184,92,36.8,92,22.4,6,50,332,BDL,0.24,BDL,6,BDL,36.0,1.6,0.56,2025
4537,Jul,Chinnakurchi Kere,D,30.4,6.1,7.3,299,5.0,0.8,0.07,3300,8400,BDL,120,230,BDL,120,28,56,BDL,0.4,100,56,22.4,44,10.7,30,13,198,298,BDL,BDL,2,0.27,21.0,0.5,0.45,2025
4538,Jul,Machohalli Lake,E,24.0,BDL,7.1,1338,58.0,5.1,BDL,310,2200,BDL,480,22.9,BDL,480,188,228,51,39.0,430,220,88.0,210,51.1,16,105,910,32,3,BDL,25,0.27,33.0,2.2,7.1,2025
4539,Jul,Doddabidarakallu Lake,D,24.0,5.5,7.5,1219,5.0,4.6,0.33,17,79,BDL,280,5.6,BDL,280,204,56,BDL,0.4,332,172,68.8,160,38.9,50,118,826,BDL,BDL,BDL,24,BDL,41.0,2.82,0.42,2025
4540,Jul,Kammagondanahalli Lake,E,24.0,1.0,6.7,656,20.0,2.2,0.77,340,2200,BDL,144,20.2,BDL,144,52,144,6.2,4.9,172,92,36.8,80,19.4,23,47,442,24,0.54,BDL,3,BDL,37.0,1.55,1.55,2025
4541,Jul,Alur Lake,D,24.0,5.6,7.6,328,5.0,1.3,BDL,320,2200,BDL,72,4.1,BDL,72,52,52,BDL,0.4,84,44,17.6,40,9.7,13,31,226,BDL,BDL,BDL,7,BDL,41.0,1.46,BDL,2025
4542,Jul,Basavanapura Lake,D,25.0,4.8,7.5,493,9.0,1.9,0.4,210,3500,BDL,144,12.5,BDL,144,72,98,BDL,0.4,124,64,25.6,60,14.6,6,52,388,16,0.68,BDL,6,0.23,46.0,2.0,1.6,2025
4543,Jul,Kodi Singasandra Lake,E,26.0,3.2,7.4,957,10.0,3.7,0.33,240,2200,BDL,220,20.4,BDL,220,160,108,2.9,2.3,260,136,54.4,124,30.1,39,94,644,26,BDL,BDL,19,0.38,42.0,2.53,0.6,2025
4544,Jul,Kothanuru Lake,E,26.0,BDL,7.2,685,11.0,2.63,0.15,3300,13000,BDL,140,36.2,BDL,140,76,56,BDL,0.6,124,72,28.8,52,12.6,60,64,460,48,0.67,BDL,14,0.24,50.0,2.51,1.59,2025
4547,Jul,Mangamanapalya Lake(Swarana Kunte),E,26.0,2.9,7.1,797,22.0,3.0,0.7,170,1700,BDL,264,11.4,BDL,264,92,148,8,6.1,244,124,49.6,120,29.2,13,88,550,16,0.82,BDL,9,0.31,43.0,2.4,1.9,2025
5558,Jul,"Kannahalli Lake Kannahalli, Bengaluru",E,23.0,2.2,7.0,1701,22.0,6.5,0.45,2000,17000,BDL,396,28.3,BDL,396,288,184,4.9,4.4,464,236,94.4,228,55.4,70,156,1164,32,0.44,BDL,34,0.43,40.0,3.14,1.3,2025
5559,Jul,"Shettihalli Lake, Mallasandra Gudde
Lake Bengaluru",E,24.0,1.2,6.8,665,20.0,2.3,0.77,1700,12000,BDL,128,16.8,BDL,128,48,148,5.4,4.3,156,84,33.6,72,17.5,21,49,448,20,0.21,BDL,3,BDL,39.0,1.71,0.61,2025
5560,Jul,"Hoodi (Rajapalya Lake) Itpl Main Road,
Near Hoodi,Bengaluru",D,26.0,6.8,7.9,594,4.0,2.28,BDL,1700,11000,BDL,184,5.2,BDL,184,92,40,BDL,0.46,144,76,30.4,68,16.5,9,67,402,BDL,BDL,BDL,13,0.44,47.0,1.2,0.21,2025
5561,Jul,"Munekolalu Lake ,Marathahalli, East
Taluka ,Bengaluru",E,25.0,3.3,7.1,726,16.0,2.7,0.09,2600,11000,BDL,140,71.6,BDL,140,96,112,BDL,1.5,140,76,30.4,64,15.6,22,75,480,80,0.85,BDL,16,0.31,50.0,2.8,2.4,2025
5562,Jul,"Mahadevpura  Lake, K. R. Puram ,
Bangalore East Taluka",D,26.0,4.4,7.0,522,8.0,2.1,BDL,310,4300,BDL,84,19.6,BDL,84,80,84,BDL,0.89,84,48,19.2,36,8.8,10,68,352,24,BDL,BDL,17,0.35,58.0,3.2,0.47,2025
5563,Jul,"Segehalli Lake Baavanapura Road
Battarahalli , Bangalore East",D,26.0,5.9,7.3,1175,6.0,4.5,0.45,170,2400,BDL,296,56.4,BDL,296,144,74,BDL,0.4,236,124,49.6,112,27.2,16,94,806,72,2.72,BDL,27,0.38,43.0,1.7,6.5,2025
5564,Jul,"Kannamangala Lake Hoskote Main Road
, Bengalore",D,25.0,5.4,8.2,505,6.0,2.0,0.58,210,1200,BDL,84,6.6,BDL,84,92,56,BDL,0.4,92,52,20.8,40,9.7,38,54,338,BDL,BDL,BDL,15,0.52,51.0,2.4,0.31,2025
5565,Jul,"Kannur Lake Near By Hennur Road
Bengalore",E,24.0,BDL,8.3,4410,105.0,18.7,BDL,41000,240000,8,984,9.4,BDL,988,844,352,21,16.0,488,252,100.8,236,57.4,49,492,2900,12,BDL,BDL,197,0.53,59.0,9.6,0.55,2025
