Sl.No,STN Code,Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/cm),BOD (mg/L),Nitrate as N (mg/L),"Fecal Coliform (MPN/100ml
)","Total Coliform (MPN/100ml
)",Fecal Streptococci (MPN/100ml),Carbonate (CO3-) (mg/L),"Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Ammonical- N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),"Total Dissolved
Solids (mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Year
1,1388,ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,"D (Propagation of wild life,fisheries)",4.8,7.6,380,7.0,6.79,4300.0,92000.0,,3(BDL),80,13.2,5(BDL),80.0,72,60,0.99,68,32,9,12,49,258,0.49,0.5(BDL),5,0.31,2023
2,5568,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",5.6,6.7,385,6.0,7.0,4800.0,35000.0,,3(BDL),76,14.2,5(BDL),76.0,56,52,0.76,64,36,28,19,17,262,0.33,0.5(BDL),6,0.21,2023
3,5569,"Byrasandra Upper Lake,Bengaluru","D (Propagation of wild life,fisheries)",5.4,6.5,425,6.0,7.0,4700.0,160000.0,,3(BDL),80,12.6,5(BDL),80.0,36,56,0.78,104,56,48,22,46,290,0.73,0.5(BDL),4,0.25,2023
4,3595,BYRASANDRA TANK,"D (Propagation of wild life,fisheries)",5.4,6.5,467,6.0,7.0,4900.0,92000.0,,3(BDL),72,12.7,5(BDL),72.0,68,56,0.98,88,48,40,18,46,316,0.43,0.5(BDL),4,0.26,2023
5,3593,ULSOOR LAKE TEMPLE,"D (Propagation of wild life,fisheries)",4.8,7.6,380,,7.0,4300.0,92000.0,,3(BDL),80,13.2,5(BDL),80.0,72,60,0.99,68,32,36,12,49,258,0.49,0.5(BDL),5,0.31,2023
6,4504,SARAKKI LAKE,"D (Propagation of wild life,fisheries)",4.9,7.1,751,7.0,13.0,4100.0,160000.0,,3(BDL),168,8.7,5(BDL),168.0,108,60,0.4,152,80,72,34,89,510,0.49,0.5(BDL),10,0.21,2023
7,3638,YELACHENAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.3,6.8,387,8.0,5.0,3200.0,54000.0,,3(BDL),88,12.6,5(BDL),88.0,40,92,0.93,76,44,32,10,41,262,0.2(BDL),0.5(BDL),3,0.2(BDL),2023
8,3592,YEDIYUR TANK,"D (Propagation of wild life,fisheries)",4.5,6.7,328,7.0,4.0,1700.0,24000.0,,3(BDL),76,10.2,5(BDL),76.0,32,64,0.69,48,28,20,5(BDL),28,222,0.2(BDL),0.5(BDL),2,0.28,2023
9,3591,KEMPAMBUDHI TANK,"D (Propagation of wild life,fisheries)",4.1,6.5,512,9.0,7.0,580.0,16000.0,,3(BDL),136,10.9,,136.0,28,84,0.96,136,72,64,10,49,348,1,0.5(BDL),6,0.31,2023
10,3590,LALBAGH TANK,"D (Propagation of wild life,fisheries)",4.1,6.8,545,10.0,8.0,4600.0,35000.0,,3(BDL),104,12.4,5(BDL),104.0,28,88,0.98,92,52,40,12,53,368,0.2(BDL),0.5(BDL),6,0.21,2023
11,4505,NELAMANGALA LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),7.2,1348,86.0,7.0,700.0,16000.0,,3(BDL),296,1.6,5(BDL),296.0,224,404,5.6,372,192,180,23,115,908,1,0.5(BDL),35,0.48,2023
12,4095,CHIKKABANAVARA LAKE,"D (Propagation of wild life,fisheries)",4.1,7.2,1597,9.0,6.0,460.0,16000.0,,3(BDL),320,7.2,5(BDL),320.0,400,100,0.98,400,204,196,36,160,1086,0.49,0.5(BDL),21,0.28,2023
13,3600,SHIVAPURA TANK,"E (Irrigation, industrial cooling and controlled waste)",1.4,6.8,2040,30.0,8.0,3400.0,54000.0,,3(BDL),192,38.5,5(BDL),192.0,400,196,15.28,388,200,188,78,156,1386,0.27,0.5(BDL),21,0.31,2023
14,3601,KARIHOBANAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.4,7.2,1914,21.0,8.0,22000.0,240000.0,,3(BDL),244,34.2,5(BDL),244.0,348,172,21.25,448,228,220,58,171,1300,1.35,0.5(BDL),12,0.29,2023
15,4515,BHATTARAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.4,7.6,756,9.0,3.0,9400.0,160000.0,,3(BDL),124,8,5(BDL),124.0,160,88,0.45,120,64,56,5(BDL),102,520,0.2(BDL),0.5(BDL),21,0.42,2023
16,5566,"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram ,","D (Propagation of wild life,fisheries)",5.4,6.5,434,4.0,1.66,4800.0,92000.0,,3(BDL),96,5.1,5(BDL),96.0,68,41,0.44,112,60,52,18,35,302,0.2(BDL),0.5(BDL),9,0.2(BDL),2023
17,3605,YELEMALLAPPA SHETTY LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.2,6.5,1556,18.0,2.17,460.0,16000.0,,3(BDL),356,8.5,5(BDL),356.0,260,160,4.8,416,212,204,63,124,1090,0.58,0.5(BDL),31,0.24,2023
18,3643,BENNIGANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.4,6.6,486,10.0,2.0,2100.0,35000.0,,3(BDL),84,2.1,5(BDL),84.0,84,100,0.89,100,56,44,23,66,334,0.24,0.5(BDL),18,0.28,2023
19,3603,VENGAIYYANAKERE( KR PURAM LAKE ),"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),6.7,1147,100.0,5.0,63000.0,540000.0,,3(BDL),312,7.2,5(BDL),312.0,148,340,200.0,264,136,128,34,160,790,0.2(BDL),0.5(BDL),26,0.42,2023
20,4526,DEVASANDRA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.4,7.0,436,12.0,2.0,11000.0,160000.0,,3(BDL),108,11.6,5(BDL),108.0,60,112,9.14,128,68,60,15,53,300,0.2(BDL),0.5(BDL),14,0.26,2023
21,5563,"Segehalli Lake Baavanapura Road Battarahalli , Bangalore","D (Propagation of wild life,fisheries)",5.2,7.0,640,7.0,3.0,12000.0,92000.0,,3(BDL),172,1.2,5(BDL),172.0,68,76,0.48,176,92,84,15,106,440,1,0.5(BDL),14,0.38,2023
22,5564,"Kannamangala Lake Hoskote Main Road , Bengalore","E (Irrigation, industrial cooling and controlled waste)",3.2,7.2,1346,13.0,5.0,4300.0,54000.0,,3(BDL),212,6.7,5(BDL),212.0,288,120,1.47,280,144,136,27,179,928,1,0.5(BDL),28,0.44,2023
23,4516,KUNDALAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.9,7.3,1556,17.0,5.96,470.0,16000.0,,3(BDL),356,8.5,5(BDL),356.0,260,160,4.8,416,212,204,63,124,1090,0.58,0.5(BDL),31,0.24,2023
24,3642,JIGANI TANK,"D (Propagation of wild life,fisheries)",5.2,7.3,952,6.0,4.0,400.0,16000.0,,3(BDL),208,9.6,5(BDL),208.0,156,52,0.44,228,112,116,9,85,646,1.14,0.5(BDL),4,0.27,2023
25,3620,PARAPPANA AGRAHARA LAKE,"D (Propagation of wild life,fisheries)",4.1,7.5,862,13.0,2.5,4800.0,160000.0,,3(BDL),248,34.4,5(BDL),248.0,136,126,0.93,232,124,108,13,84,588,0.36,0.5(BDL),11,0.45,2023
26,4543,KODI SINGASANDRA LAKE,"D (Propagation of wild life,fisheries)",4.2,7.1,512,12.0,1.5,430.0,9200.0,,3(BDL),144,20.3,5(BDL),144.0,76,121,0.9,136,76,60,8,51,350,0.21,0.5(BDL),6,0.24,2023
27,3619,BEGUR TANK,"D (Propagation of wild life,fisheries)",4.2,7.1,522,12.0,1.5,470.0,16000.0,,3(BDL),148,14.9,5(BDL),148.0,80,119,0.9,140,76,64,8,52,356,0.22,0.5(BDL),7,0.26,2023
28,3589,MADIWALA TANK,"D (Propagation of wild life,fisheries)",4.1,7.1,1080,12.0,3.2,3300.0,35000.0,,3(BDL),304,28.6,5(BDL),304.0,168,123,0.92,292,152,140,17,105,736,0.45,0.5(BDL),13,0.52,2023
29,3615,ARAKERE LAKE,"D (Propagation of wild life,fisheries)",4.2,7.4,859,11.0,2.5,7900.0,160000.0,,3(BDL),244,11.22,5(BDL),244.0,132,113,0.9,232,124,108,13,84,584,0.36,0.5(BDL),11,0.44,2023
30,3614,PUTTENAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.3,7.1,510,11.0,1.5,480.0,9200.0,,3(BDL),144,13.7,5(BDL),144.0,76,115,0.87,136,76,60,8,51,348,0.21,0.5(BDL),6,0.24,2023
31,3648,MYDALA TANK,"D (Propagation of wild life,fisheries)",5.3,6.9,294,4.0,1.0,430.0,5400.0,,3(BDL),64,10.2,5(BDL),64.0,36,40,0.4,92,52,10,5(BDL),13,202,0.2(BDL),0.5(BDL),3,0.2(BDL),2023
32,5567,"Doddakallasandra Lake,Bengaluru","D (Propagation of wild life,fisheries)",4.3,7.6,791,11.0,2.3,2200.0,24000.0,,3(BDL),224,9.8,5(BDL),224.0,120,110,0.85,212,112,100,12,78,538,0.33,0.5(BDL),10,0.4,2023
33,4547,MANGAMANAPALYA LAKE(SWARANA KUNTE),"D (Propagation of wild life,fisheries)",4.1,7.2,1080,13.0,3.2,4300.0,54000.0,,3(BDL),304,36.6,5(BDL),304.0,168,129,0.94,292,152,140,17,106,734,0.46,0.5(BDL),13,0.55,2023
34,3609,IBBALUR LAKE,"D (Propagation of wild life,fisheries)",6.6,7.0,485,4.0,1.9,7000.0,92000.0,,3(BDL),104,5.3,5(BDL),104.0,80,40,0.4,124,68,56,19,40,340,0.2(BDL),0.5(BDL),10,0.2(BDL),2023
35,3622,SOMASUNDRAPALYA LAKE,"D (Propagation of wild life,fisheries)",4.1,7.2,1084,13.0,3.2,4000.0,35000.0,,3(BDL),308,37.2,5(BDL),308.0,172,130,0.95,292,156,136,17,106,740,0.47,0.5(BDL),14,0.55,2023
36,3612,AGARAM LAKE,"D (Propagation of wild life,fisheries)",6.7,7.1,483,4.0,1.85,330.0,16000.0,,3(BDL),108,2.1,5(BDL),108.0,80,40,0.56,128,68,60,20,39,338,0.2(BDL),0.5(BDL),10,0.2(BDL),2023
37,3607,KALKERE TANK,"D (Propagation of wild life,fisheries)",4.1,7.8,840,11.0,3.6,1700.0,24000.0,,3(BDL),212,10.4,5(BDL),212.0,188,110,0.88,228,120,108,8,91,570,1.3,0.5(BDL),23,0.43,2023
38,4519,RAMPURA LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),6.5,1645,30.0,5.3,27000.0,240000.0,,3(BDL),452,38.6,5(BDL),452.0,200,200,40.7,280,144,136,10,98,1122,3.8,0.5(BDL),31,0.39,2023
39,4542,BASAVANAPURA LAKE,"D (Propagation of wild life,fisheries)",5,7.2,426,7.0,1.8,7000.0,92000.0,,3(BDL),108,12.8,5(BDL),108.0,72,68,0.4,108,60,48,11,55,292,0.2(BDL),0.5(BDL),15,0.24,2023
40,3613,GOTTIGERE LAKE,"D (Propagation of wild life,fisheries)",4.2,7.4,666,9.0,2.8,3300.0,160000.0,,3(BDL),164,13,5(BDL),164.0,148,88,0.97,108,60,48,5(BDL),75,458,0.2(BDL),0.5(BDL),52,0.2(BDL),2023
41,5574,"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru","D (Propagation of wild life,fisheries)",4.9,7.3,653,7.0,2.8,4700.0,54000.0,,3(BDL),160,11.6,5(BDL),160.0,136,65,0.42,132,72,60,5(BDL),77,454,0.2(BDL),0.5(BDL),51,0.2(BDL),2023
42,4544,KOTHANURU LAKE,"D (Propagation of wild life,fisheries)",5.1,7.3,657,7.0,2.8,480.0,9200.0,,3(BDL),160,8.5,5(BDL),160.0,136,65,0.5,128,68,60,5(BDL),77,456,0.35,0.5(BDL),52,0.2(BDL),2023
43,3616,KALENA AGRAHARA LAKE,"D (Propagation of wild life,fisheries)",4.5,7.4,672,8.0,2.8,4900.0,35000.0,,3(BDL),172,11.2,5(BDL),172.0,148,72,0.59,136,72,64,5(BDL),68,466,0.2(BDL),0.5(BDL),48,0.2(BDL),2023
44,4529,KASAVANAHALLI LAKE,"D (Propagation of wild life,fisheries)",5.3,7.5,745,4.0,2.86,4600.0,54000.0,,,168,4.8,5(BDL),168.0,124,46,0.53,200,104,96,30,60,522,0.2(BDL),0.5(BDL),15,0.2(BDL),2023
45,3594,SANKEY TANK,"D (Propagation of wild life,fisheries)",5.6,6.7,498,4.0,1.91,630.0,5400.0,,3(BDL),112,3.6,5(BDL),112.0,80,40,0.4,132,72,60,20,40,348,0.2(BDL),0.5(BDL),10,0.2(BDL),2023
