"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Temperature,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/cm),"BOD
(mg/L)",NitrateN (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Fecal Streptococci (MPN/100ml),Carbonate (CO3-) (mg/L),Bicarbonate (HCO3-) (mg/L),Turbidity (mg/L),Phenolphthalein Alkalinity (mg/L),Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Total Kjeldahl Nitrogen (mg/L),Ammonical-N (mg/L),Total Hardness (mg/L),Ca as CaCo3 (mg/L),Ca,Mg as CaCo3 (mg/L),Mg,Sulphate (mg/L),Sodium (mg/L),Total Dissolved Solids  (mg/L),Total Suspended Solids  (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium Percentage,SAR,Ortho Phosphate (mg/L),Year
3591,Apr,Kempambudhi Tank,"E (Irrigation, industrial cooling and controlled waste)",31.0,2.6,8.0,697.0,12.0,2.0,2000.0,9400.0,,3(BDL),188.0,72.4,5(BDL),188.0,64.0,128.0,2.67,2.06,168.0,88.0,35.0,80.0,19.0,25,93.0,,,94,1,25.0,0.25,51.0,3.0,0.42,2024
3590,Apr,Lalbagh Tank,"D (Propagation of wild life,fisheries)",32.0,5.1,8.2,649.0,5.0,2.0,1700.0,13000.0,,3(BDL),96.0,44.0,5(BDL),96.0,96.0,48.0,1.5(BDL),0.6,112.0,60.0,24.0,52.0,13.0,7,74.0,440.0,58,0.2(BDL),0.5(BDL),19.0,0.36,54.0,3.0,0.32,2024
4515,Apr,Bhattarahalli Lake,"D (Propagation of wild life,fisheries)",24.0,4.1,8.5,1151.0,12.0,3.7,320.0,3500.0,,16,308.0,23.2,8,324.0,196.0,121.0,1.5(BDL),0.99,312.0,164.0,66.0,148.0,36.0,18,112.0,784.0,30,2.1,0.5(BDL),14.0,0.9,42.0,2.8,0.76,2024
5564,Apr,"Kannamangala Lake Hoskote Main Road , Bengalore","D (Propagation of wild life,fisheries)",21.0,4.2,7.9,1716.0,13.0,5.6,2100.0,7000.0,,3(BDL),484.0,17.5,5(BDL),484.0,268.0,129.0,1.5(BDL),0.99,464.0,240.0,96.0,224.0,54.0,26,166.0,1168.0,24,0.86,0.5(BDL),21.0,0.93,42.0,3.4,2.3,2024
5566,Apr,"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram , Bengaluru","E (Irrigation, industrial cooling and controlled waste)",25.0,3.4,7.1,1173.0,15.0,3.8,1700.0,9400.0,,3(BDL),328.0,245.0,5(BDL),328.0,184.0,151.0,5.2,4.0,316.0,164.0,66.0,152.0,37.0,18,114.0,800.0,320,0.77,0.5(BDL),15.0,0.9,42.0,2.8,2.1,2024
3607,Apr,Kalkere Tank,"E (Irrigation, industrial cooling and controlled waste)",26.0,0.9,7.8,1477.0,21.0,4.8,6800.0,49000.0,,3(BDL),416.0,800.0,5(BDL),416.0,232.0,175.0,13.4,10.3,400.0,208.0,83.0,192.0,47.0,23,143.0,1006.0,1040,2.7,0.5(BDL),18.0,0.93,42.0,3.1,0.98,2024
4519,Apr,Rampura Lake,"E (Irrigation, industrial cooling and controlled waste)",27.0,0.3(BDL),7.4,1755.0,24.0,5.7,17000.0,48000.0,,3(BDL),496.0,302.0,5(BDL),496.0,276.0,196.0,24.4,18.8,476.0,244.0,98.0,232.0,56.0,27,169.0,1196.0,394,3.2,0.5(BDL),22.0,0.94,42.0,3.4,9.2,2024
3643,Apr,Benniganahalli Lake,"D (Propagation of wild life,fisheries)",22.0,5.7,8.1,618.0,6.0,3.0,1100.0,4600.0,,3(BDL),80.0,14.0,5(BDL),80.0,80.0,60.0,1.5(BDL),0.5,120.0,60.0,24.0,60.0,15.0,5(BDL),91.0,420.0,18,0.2(BDL),0.5(BDL),36.0,0.2(BDL),54.0,4.0,0.3,2024
3605,Apr,Yelemallappa Shetty Lake,"E (Irrigation, industrial cooling and controlled waste)",22.0,3.4,8.2,1766.0,15.0,6.0,1400.0,4900.0,,3(BDL),520.0,5.6,5(BDL),520.0,348.0,140.0,19.5,15.0,368.0,188.0,75.0,180.0,44.0,6,239.0,1218.0,10(BDL),0.54,0.5(BDL),39.0,0.26,55.0,5.0,1.35,2024
3603,Apr,Vengaiyyanakere( Kr Puram Lake ),"E (Irrigation, industrial cooling and controlled waste)",19.0,3.1,8.2,1371.0,18.0,5.0,2600.0,14000.0,,3(BDL),452.0,8.2,5(BDL),452.0,188.0,172.0,4.68,3.6,252.0,132.0,53.0,120.0,29.0,6,174.0,932.0,10(BDL),0.75,0.5(BDL),33.0,0.2(BDL),56.0,5.0,1.52,2024
4526,Apr,Devasandra Lake,"E (Irrigation, industrial cooling and controlled waste)",22.0,1.2,8.2,935.0,87.0,3.0,1300.0,4900.0,,3(BDL),124.0,42.6,5(BDL),124.0,208.0,364.0,5,3.9,192.0,100.0,40.0,92.0,22.0,20,118.0,644.0,56,0.92,0.5(BDL),33.0,0.45,52.0,4.0,2,2024
5563,Apr,"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East","E (Irrigation, industrial cooling and controlled waste)",21.0,1.3,7.6,1222.0,140.0,4.0,1100.0,11000.0,,3(BDL),172.0,152.0,5(BDL),172.0,240.0,436.0,2.9,2.2,108.0,60.0,24.0,48.0,12.0,19,178.0,,170,0.98,0.5(BDL),40.0,0.24,71.0,7.0,2.2,2024
4540,Apr,Kammagondanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",25.0,1.5,7.0,1667.0,24.0,6.5,1500.0,4100.0,,3(BDL),656.0,22.3,5(BDL),656.0,196.0,160.0,3.9,3.0,396.0,204.0,82.0,192.0,47.0,32,194.0,1136.0,28,4.7,0.5(BDL),28.0,0.22,49.0,4.3,10,2024
4503,Apr,Madhure Tank,"D (Propagation of wild life,fisheries)",30.0,4.2,6.8,287.0,7.0,0.5,930.0,13000.0,,3(BDL),92.0,2.8,5(BDL),92.0,36.0,72.0,1.5(BDL),0.4,140.0,72.0,29.0,68.0,17.0,5(BDL),28.0,198.0,10(BDL),0.2(BDL),0.5(BDL),3.0,0.2(BDL),29.0,1.4,0.05(BDL),2024
3623,Apr,Anekal Doddakere Tank,"E (Irrigation, industrial cooling and controlled waste)",37.0,1.2,7.6,1419.0,20.0,4.6,1400.0,9400.0,,3(BDL),400.0,26.6,5(BDL),400.0,220.0,170.0,9.36,7.2,384.0,200.0,80.0,184.0,45.0,22,137.0,966.0,36,0.28,0.5(BDL),18.0,0.88,42.0,3.0,0.8,2024
3642,Apr,Jigani Tank,"D (Propagation of wild life,fisheries)",37.0,4.6,7.9,1285.0,10.0,4.2,260.0,1700.0,,3(BDL),360.0,11.9,5(BDL),360.0,200.0,103.0,1.5(BDL),0.99,348.0,180.0,72.0,168.0,41.0,20,125.0,876.0,16,0.2(BDL),0.5(BDL),16.0,0.87,42.0,2.9,0.47,2024
4518,Apr,Garudacharpalya Tank,"D (Propagation of wild life,fisheries)",26.0,5.1,8.1,838.0,7.0,3.0,170.0,3500.0,,3(BDL),188.0,36.6,5(BDL),188.0,132.0,72.0,1.5(BDL),0.4,160.0,84.0,34.0,76.0,18.0,23,94.0,570.0,48,0.72,0.5(BDL),34.0,0.2(BDL),50.0,3.0,1.74,2024
4520,Apr,Chinnappanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",27.0,2.3,8.5,2027.0,17.0,7.0,680.0,4600.0,,32,164.0,43.2,16,196.0,420.0,156.0,4.68,3.6,364.0,188.0,75.0,176.0,43.0,49,243.0,1398.0,56,0.48,0.5(BDL),38.0,0.2(BDL),56.0,6.0,1.02,2024
5562,Apr,"Mahadevpuraâ   Lake, K. R. Puram , Bangalore East Taluka","D (Propagation of wild life,fisheries)",27.0,4.1,9.1,723.0,9.0,3.0,1200.0,7900.0,,24,92.0,36.8,12,116.0,144.0,100.0,1.5(BDL),0.59,100.0,56.0,22.0,44.0,11.0,5(BDL),98.0,490.0,48,0.41,0.5(BDL),35.0,0.2(BDL),59.0,4.0,0.96,2024
3604,Apr,Doddanekkundi Lake,"D (Propagation of wild life,fisheries)",25.0,4.4,7.6,896.0,7.0,3.1,260.0,1700.0,,3(BDL),188.0,63.0,5(BDL),188.0,128.0,72.0,1.5(BDL),0.4,168.0,92.0,37.0,76.0,18.0,36,136.0,598.0,84,0.26,0.5(BDL),9.0,0.35,62.0,5.0,0.69,2024
5561,Apr,"Munekolalu Lake ,Marathahalli, East Taluka ,Bengaluru","D (Propagation of wild life,fisheries)",26.0,4.5,7.4,864.0,7.0,3.0,140.0,13000.0,,3(BDL),76.0,12.4,5(BDL),76.0,152.0,80.0,1.5(BDL),0.48,156.0,84.0,34.0,72.0,17.0,44,100.0,582.0,18,0.52,0.5(BDL),16.0,0.22,55.0,3.0,1.4,2024
3608,Apr,Varthur Lake,"E (Irrigation, industrial cooling and controlled waste)",23.0,1.2,7.2,1477.0,26.0,5.1,170000.0,1700000.0,,3(BDL),432.0,31.7,5(BDL),432.0,172.0,184.0,36,26.0,248.0,132.0,53.0,116.0,28.0,25,154.0,978.0,42,1.2,0.5(BDL),31.0,0.2(BDL),48.0,4.0,3.5,2024
4527,Apr,Sheelavanta-Whitefield Lake,"E (Irrigation, industrial cooling and controlled waste)",24.0,1,7.6,1696.0,58.0,6.0,2600.0,11000.0,,3(BDL),144.0,158.0,5(BDL),144.0,392.0,292.0,35,28.0,248.0,132.0,53.0,116.0,28.0,63,258.0,1120.0,174,3,0.5(BDL),30.0,0.2(BDL),61.0,7.0,9.2,2024
4524,Apr,Pattandur Agrahara Lake,"E (Irrigation, industrial cooling and controlled waste)",24.0,3,7.9,2970.0,39.0,10.3,1100.0,6300.0,,3(BDL),444.0,3.8,5(BDL),444.0,268.0,220.0,26,18.0,520.0,268.0,107.0,252.0,61.0,62,370.0,1122.0,10(BDL),2.5,0.5(BDL),69.0,0.2(BDL),57.0,7.0,7.1,2024
4516,Apr,Kundalahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,1.4,8.2,1822.0,27.0,6.3,210.0,3500.0,,3(BDL),216.0,87.0,5(BDL),216.0,464.0,184.0,19,12.0,364.0,188.0,75.0,176.0,43.0,56,255.0,1206.0,108,1,0.5(BDL),22.0,0.2(BDL),58.0,6.0,2.8,2024
5560,Apr,"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",28.0,1.2,8.3,1610.0,58.0,5.6,2000.0,9400.0,,48,248.0,91.0,24,272.0,340.0,292.0,25,18.0,304.0,160.0,64.0,144.0,35.0,43,260.0,1076.0,114,1.5,0.5(BDL),36.0,0.2(BDL),62.0,6.0,4.6,2024
4525,Apr,Seetharampalya Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,1.8,7.7,1594.0,41.0,5.5,220.0,2400.0,,3(BDL),268.0,86.0,5(BDL),268.0,348.0,236.0,20,14.0,300.0,156.0,62.0,144.0,35.0,38,258.0,1068.0,106,2.5,0.5(BDL),32.0,0.2(BDL),62.0,6.0,7.1,2024
3610,Apr,Tubarahalli Tank,"D (Propagation of wild life,fisheries)",26.0,4.4,7.7,845.0,7.0,2.9,210.0,3500.0,,3(BDL),76.0,14.3,5(BDL),76.0,156.0,88.0,1.5(BDL),0.47,160.0,88.0,35.0,72.0,17.0,56,95.0,572.0,20,0.75,0.5(BDL),15.0,0.23,53.0,3.0,1.9,2024
3636,Apr,Hoskere Lake,"E (Irrigation, industrial cooling and controlled waste)",34.2,0.3(BDL),6.9,2550.0,79.0,9.8,270.0,3500.0,,3(BDL),588.0,36.2,5(BDL),588.0,444.0,357.0,19,15.0,668.0,340.0,136.0,328.0,80.0,83,163.0,1738.0,42,1.28,0.5(BDL),51.0,0.22,32.0,2.7,3.64,2024
3633,Apr,Subramanyapura Tank,"E (Irrigation, industrial cooling and controlled waste)",30.3,0.3(BDL),7.0,5270.0,81.0,20.2,2600.0,9400.0,,3(BDL),260.0,38.7,5(BDL),260.0,1240.0,393.0,22,18.0,1350.0,690.0,276.0,660.0,160.0,212,336.0,3644.0,46,2.81,0.5(BDL),97.0,0.24,33.0,3.97,8,2024
3596,Apr,Nayandanahalli Tank,"D (Propagation of wild life,fisheries)",36.7,5.1,7.9,934.0,4.0,3.6,220.0,1400.0,,3(BDL),216.0,4.6,5(BDL),216.0,160.0,45.0,1.5(BDL),0.84,252.0,132.0,53.0,120.0,29.0,38,89.0,636.0,10(BDL),0.22,0.5(BDL),19.0,0.2(BDL),41.0,2.4,0.62,2024
3634,Apr,Devarakere Tank,"D (Propagation of wild life,fisheries)",36.9,4.2,8.1,307.0,5.0,1.2,210.0,3500.0,,3(BDL),80.0,16.8,5(BDL),80.0,48.0,52.0,1.5(BDL),0.4,68.0,40.0,16.0,28.0,7.0,12,25.0,,20,0.2(BDL),0.5(BDL),6.0,0.2(BDL),41.0,1.3,0.05(BDL),2024
3641,Apr,Dhorekere Tank,"E (Irrigation, industrial cooling and controlled waste)",35.0,0.3(BDL),7.6,580.0,90.0,2.2,2100.0,7000.0,,3(BDL),116.0,218.0,5(BDL),116.0,52.0,444.0,44,34.0,148.0,80.0,32.0,14.0,3.0,68,55.0,394.0,284,0.56,0.5(BDL),17.0,0.22,41.0,2.0,1.42,2024
4534,Apr,Sompura Lake,"E (Irrigation, industrial cooling and controlled waste)",35.0,0.3(BDL),6.5,696.0,30.0,2.8,680.0,4600.0,,3(BDL),152.0,97.0,5(BDL),152.0,92.0,168.0,28.6,22.0,156.0,84.0,34.0,72.0,17.0,13,75.0,466.0,126,0.86,0.5(BDL),15.0,0.36,48.0,3.0,0.71,2024
4536,Apr,Hosakerehalli Lake,"D (Propagation of wild life,fisheries)",28.0,4.2,8.3,1000.0,9.0,4.0,1400.0,13000.0,,56,104.0,22.0,28,160.0,156.0,80.0,1.5(BDL),0.4,148.0,80.0,32.0,68.0,17.0,23,96.0,680.0,28,0.55,0.5(BDL),24.0,0.41,54.0,3.0,1.4,2024
4537,Apr,Chinnakurchi Kere,"E (Irrigation, industrial cooling and controlled waste)",36.0,0.3(BDL),7.6,3380.0,84.0,13.6,7800.0,33000.0,,3(BDL),852.0,121.0,5(BDL),852.0,332.0,312.0,32.5,25.0,252.0,132.0,53.0,120.0,29.0,286,185.0,2264.0,156,0.57,0.5(BDL),10.0,0.68,60.0,5.0,1.42,2024
3635,Apr,Malathahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",30.4,0.3(BDL),7.4,2500.0,58.0,10.8,310.0,3500.0,,168,532.0,196.0,84,700.0,248.0,220.0,28.6,22.0,196.0,104.0,42.0,92.0,22.0,97,166.0,1676.0,254,0.36,0.5(BDL),27.0,0.61,61.0,5.0,0.96,2024
3639,Apr,Kengeri Tank,"D (Propagation of wild life,fisheries)",31.0,4.1,7.2,1165.0,8.0,4.7,320.0,1700.0,,3(BDL),308.0,17.0,5(BDL),308.0,140.0,92.0,1.5(BDL),0.46,268.0,140.0,56.0,128.0,31.0,30,124.0,792.0,22,1.9,0.5(BDL),27.0,0.48,47.0,3.0,4.9,2024
3598,Apr,Herohalli Tank,"E (Irrigation, industrial cooling and controlled waste)",25.0,0.3(BDL),7.2,675.0,23.0,2.4,780.0,4900.0,,3(BDL),184.0,18.6,5(BDL),184.0,96.0,156.0,3.1,2.4,168.0,88.0,35.0,80.0,19.0,35,76.0,462.0,24,1.6,0.5(BDL),18.0,0.2(BDL),47.0,2.6,3.7,2024
4096,Apr,Andhrahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",27.0,0.3(BDL),8.1,2820.0,25.0,11.2,1100.0,11000.0,,3(BDL),228.0,20.4,5(BDL),228.0,816.0,168.0,5.6,4.3,676.0,344.0,138.0,332.0,81.0,156,327.0,1920.0,26,3,0.5(BDL),40.0,0.39,49.0,5.5,8,2024
3606,Apr,Dasarahalli Tank,"E (Irrigation, industrial cooling and controlled waste)",28.0,1.2,7.5,702.0,18.0,2.5,170.0,3300.0,,3(BDL),76.0,21.2,5(BDL),76.0,112.0,118.0,2,1.6,204.0,108.0,43.0,96.0,23.0,93,80.0,480.0,28,1.3,0.5(BDL),22.0,0.2(BDL),43.0,2.4,2.7,2024
4095,Apr,Chikkabanavara Lake,"E (Irrigation, industrial cooling and controlled waste)",30.0,2,7.1,1700.0,22.0,6.7,270.0,2800.0,,3(BDL),492.0,13.8,5(BDL),492.0,296.0,149.0,3,2.3,548.0,280.0,112.0,268.0,65.0,35,198.0,1156.0,18,5.1,0.5(BDL),28.0,0.24,42.0,3.7,11.8,2024
5559,Apr,"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru","E (Irrigation, industrial cooling and controlled waste)",29.0,2.3,7.3,1074.0,24.0,4.2,140.0,2400.0,,3(BDL),300.0,12.5,5(BDL),300.0,176.0,158.0,3.4,2.6,420.0,216.0,86.0,204.0,50.0,24,128.0,730.0,16,5,0.5(BDL),21.0,0.2(BDL),38.0,2.7,11.5,2024
4539,Apr,Doddabidarakallu Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,0.8,7.6,1888.0,58.0,6.6,450000.0,2300000.0,,3(BDL),532.0,14.2,5(BDL),532.0,232.0,296.0,29,21.0,404.0,208.0,83.0,196.0,48.0,34,189.0,1242.0,20,1.4,0.5(BDL),34.0,0.2(BDL),48.0,4.0,3.8,2024
3599,Apr,Anchepalya Lake,"E (Irrigation, industrial cooling and controlled waste)",25.0,0.9,7.8,2180.0,54.0,7.5,1200.0,7900.0,,3(BDL),376.0,4.6,5(BDL),376.0,372.0,276.0,25,18.0,608.0,312.0,125.0,296.0,72.0,125,216.0,1432.0,10(BDL),0.32,0.5(BDL),34.0,0.2(BDL),42.0,4.0,0.8,2024
3597,Apr,Hesaraghatta Lake,"D (Propagation of wild life,fisheries)",28.0,5.8,7.7,469.0,5.0,1.6,32.0,1600.0,,3(BDL),140.0,1.4,5(BDL),140.0,48.0,52.0,1.5(BDL),0.4,124.0,68.0,27.0,56.0,14.0,5(BDL),31.0,312.0,10(BDL),0.2(BDL),0.5(BDL),15.0,0.2(BDL),32.0,1.0,0.05(BDL),2024
4513,Apr,Ramammana Kere,"D (Propagation of wild life,fisheries)",29.0,4.8,7.9,2033.0,7.0,7.0,210.0,1100.0,,3(BDL),476.0,4.8,5(BDL),476.0,364.0,84.0,1.5(BDL),0.42,624.0,320.0,128.0,304.0,74.0,13,249.0,1342.0,10(BDL),0.3,0.5(BDL),38.0,0.22,44.0,4.0,0.86,2024
4094,Apr,Gangondanahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",30.0,0.8,7.8,2980.0,78.0,10.3,11000.0,46000.0,,3(BDL),624.0,27.7,5(BDL),624.0,552.0,304.0,41,30.0,684.0,348.0,139.0,336.0,82.0,16,362.0,1962.0,34,0.31,0.5(BDL),45.0,0.57,51.0,6.0,0.93,2024
4538,Apr,Machohalli Lake,"E (Irrigation, industrial cooling and controlled waste)",32.0,3,7.7,3280.0,20.0,11.4,260.0,1400.0,,3(BDL),324.0,6.8,5(BDL),324.0,756.0,168.0,33,24.0,652.0,332.0,133.0,320.0,78.0,24,349.0,2158.0,10(BDL),0.57,0.5(BDL),46.0,0.3,51.0,6.0,1.6,2024
4097,Apr,Kachohalli Lake,"E (Irrigation, industrial cooling and controlled waste)",30.0,0.5,7.9,2700.0,90.0,9.4,13000.0,94000.0,,3(BDL),684.0,7.8,5(BDL),684.0,384.0,352.0,51,38.0,668.0,340.0,136.0,328.0,80.0,28,325.0,1780.0,12,1.7,0.5(BDL),49.0,0.2(BDL),49.0,5.0,4.5,2024
5558,Apr,"Kannahalli Lake Kannahalli, Bengaluru","D (Propagation of wild life,fisheries)",30.0,6.1,8.1,2001.0,4.0,6.9,220.0,1700.0,,3(BDL),516.0,15.0,5(BDL),516.0,324.0,52.0,1.5(BDL),0.57,596.0,304.0,122.0,292.0,71.0,21,193.0,1316.0,10(BDL),0.95,0.5(BDL),31.0,0.25,40.0,3.0,2.7,2024
3640,Apr,Uttarahalli Doraikere,"E (Irrigation, industrial cooling and controlled waste)",36.8,0.3(BDL),6.5,1124.0,60.0,4.32,3200.0,17000.0,,3(BDL),260.0,69.6,5(BDL),260.0,188.0,277.0,12.8,10.1,300.0,156.0,62.0,144.0,35.0,46,108.0,756.0,76,1.29,0.5(BDL),22.0,0.21,41.0,2.7,3.65,2024
