"STN
Code",Sampling Month,Name Of Monitoring Location,Use Based Class,Dissolved O2 (mg/L),pH,"Conductivi
ty (&micro; mho/cm)","BOD
(mg/L)",NitrateN (mg/L),"Fecal
Coliform (MPN/100m
l)",Total Coliform (MPN/100ml),"Carbona te (CO3-
) (mg/L)","Bicarbonate (HCO3-)
(mg/L)",Turbidity (mg/L),"Phenolphthalein Alkalinity (mg/L)",Total Alkalinity (mg/L),Chlorides (mg/L),"COD
(mg/L)",Ammonical-N (mg/L),"Total
Hardness (mg/L)",Ca as CaCo3 (mg/L),Mg as CaCo3 (mg/L),Sulphate (mg/L),Sodium (mg/L),"Total
Dissolved Solids (mg/L)",Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Year
4530,Aug,KAMMASANDRA LAKE,"E (Irrigation, industrial cooling",0.3(BDL),7.4,1394,28.0,7.3,49000000,240000000,3(BDL),600.0,27.6,5(BDL),600.0,180.0,192,10.5,488,248,240,29,91.0,948,2.8,0.5 (BDL),28.0,0.38,2023
5575,Aug,"Hanchanal Lake ,Hanchanal Vill,Bengaluru","D (Propagation of wild life,fisheries)",5.1,6.9,1187,3.9,12.0,1840,3200,,,69,5(BDL),228.0,216.0,60,0.4,232,100,132,220,45.0,760,0.4,0.5(BDL),6.81,0.75,2023
3645,Aug,DEVARAYASAMUDRA LAKE,"D (Propagation of wild life, fisheries)",4.1,7.4,466,7.0,8.0,4800,35000,3(BDL),160.0,7.1,5(BDL),160.0,44.0,72,0.6,220,116,104,8,43.0,320,0.3,0.5(BDL),6.0,0.4,2023
5589,Aug,"Mallapura Kere, Mallapura Vill, Nh-13, Hospet Road Chitradurga,Bengaluru","D (Propagation of wild life, fisheries)",0.3(BDL),7.8,1480,28.2,1.95,130,2800,,,12,5(BDL),330.0,220.0,44,2.39,328,216,112,56,165.1,968,,0.5(BDL),25.05,0.36,2023
3648,Aug,MYDALA TANK,"D (Propagation of wild life, fisheries)",5.6,7.0,250,4.0,6.0,480,16000,3(BDL),72.0,5.6,5(BDL),72.0,20.0,40,0.4,68,40,28,7,15.0,170,0.2 (BDL),0.5(BDL),3.0,0.2(BDL),2023
3644,Aug,MULBAGALU LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.9,7.9,1196,20.0,4.0,7000,92000,3(BDL),388.0,34.8,5(BDL),388.0,336.0,136,2.0,288,148,140,8,93.0,824,0.2 (BDL),,4.0,0.4,2023
3621,Aug,HARALUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",2,8.2,968,17.0,3.7,6300,54000,3(BDL),244.0,24.6,5(BDL),244.0,148.0,117,1.5,248,128,120,99,99.0,660,2.6,0.5(BDL),22.0,0.26,2023
5571,Aug,"Kudlu Doddakere, Kudlu Vill,Bengaluru","D (Propagation of wild life,fisheries)",4.1,8.5,708,10.0,3.0,27000,240000,24,128.0,16.5,12,140.0,136.0,99,0.84,164,88,76,57,92.0,480,0.44,0.5(BDL),20.0,0.26,2023
5572,Aug,"Kudlu Chikkakere, Bgp Layout Kudlu Vill ,Bengaluru","D (Propagation of wild life,fisheries)",4.1,8.5,710,11.0,3.0,7900,54000,24,128.0,17.3,12,140.0,136.0,104,0.86,164,88,76,58,93.0,486,0.45,0.5(BDL),20.0,0.28,2023
3611,Aug,KAIKONDANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.4,8.5,762,9.0,3.3,4600,35000,32,136.0,16.4,16,152.0,148.0,88,0.8,204,108,96,34,101.0,522,2.4,0.5(BDL),26.0,0.3,2023
4529,Aug,KASAVANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.6,7.5,630,8.0,2.9,4800,92000,3(BDL),156.0,8.6,5(BDL),156.0,128.0,74,0.79,156,84,72,5(BDL),92.0,432,0.2(BD L),0.5(BDL),16.0,0.25,2023
3620,Aug,PARAPPANA AGRAHARA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.4,8.0,904,12.0,3.7,4700,160000,3(BDL),236.0,20.4,5(BDL),236.0,148.0,119,1.3,268,140,128,35,111.0,620,0.4,0.5(BDL),35.0,0.35,2023
4528,Aug,DODDAKANNEHALLI LAKE,"D (Propagation of wild life,fisheries)",4.4,8.5,769,9.0,3.0,1700,24000,32,100.0,19.7,16,116.0,144.0,80,0.83,156,84,72,45,93.0,520,1.7,0.5(BDL),18.0,0.26,2023
4521,Aug,DEVARABEESANAHALLI LAKE,"D (Propagation of wild life,fisheries)",5.2,7.7,1272,7.0,5.9,4600,54000,3(BDL),148.0,6.5,5(BDL),148.0,368.0,69,0.82,276,144,132,30,176.0,868,1.8,0.5(BDL),37.0,0.44,2023
5570,Aug,"Soulkere, Kaikondrahalli Vill,Bengaluru","D (Propagation of wild life,fisheries)",4.5,7.5,1265,8.0,5.9,4000,92000,3(BDL),168.0,7.2,5(BDL),168.0,340.0,73,0.76,316,164,152,23,185.0,864,1.9,0.5(BDL),31.0,0.48,2023
4542,Aug,BASAVANAPURA LAKE,"D (Propagation of wild life,fisheries)",5.7,7.8,310,5.0,1.0,4000,54000,3(BDL),92.0,12.8,5(BDL),92.0,40.0,64,0.4,96,56,40,11,34.0,208,0.3,0.5(BDL),10.0,0.2(BDL),2023
3616,Aug,KALENA AGRAHARA LAKE,"D (Propagation of wild life,fisheries)",5.8,7.7,338,5.0,1.0,2300,24000,3(BDL),96.0,13.3,5(BDL),96.0,44.0,60,0.4,128,72,56,12,24.0,230,0.3,0.5(BDL),10.0,0.22,2023
3613,Aug,GOTTIGERE LAKE,"D (Propagation of wild life,fisheries)",5.8,7.7,833,5.0,3.0,3100,35000,3(BDL),148.0,6.7,5(BDL),148.0,140.0,68,0.4,168,92,76,36,97.0,556,0.28,0.5(BDL),24.0,0.35,2023
3615,Aug,ARAKERE LAKE,"D (Propagation of wild life,fisheries)",5.7,7.8,332,5.0,1.0,470,16000,3(BDL),96.0,9.7,5(BDL),96.0,40.0,48,0.4,100,56,44,12,19.0,224,0.3,0.5(BDL),10.0,0.22,2023
3619,Aug,BEGUR TANK,"D (Propagation of wild life,fisheries)",5.4,7.7,825,6.0,3.0,4300,92000,3(BDL),140.0,9.9,5(BDL),140.0,152.0,56,0.4,164,88,76,35,98.0,554,0.29,0.5(BDL),25.0,0.35,2023
4543,Aug,KODI SINGASANDRA LAKE,"D (Propagation of
wild life,fisheries)",6.1,7.7,1012,4.0,4.0,330,16000,3(BDL),184.0,3.2,5(BDL),184.0,138.0,44,0.4,200,108,92,9,138.0,682,0.91,0.5(BDL),23.0,0.33,2023
3618,Aug,SINGASANDRA LAKE,"D (Propagation of wild life,fisheries)",4.7,8.0,898,7.0,3.0,2200,24000,3(BDL),192.0,8.6,5(BDL),192.0,128.0,88,0.48,240,128,112,28,94.0,604,2,0.5(BDL),28.0,0.28,2023
3590,Aug,LALBAGH TANK,"D (Propagation of wild life,fisheries)",4.1,6.7,495,12.0,1.4,3900,92000,3(BDL),140.0,23.1,5(BDL),140.0,76.0,116,0.95,132,72,60,8,49.0,340,0.2 (BDL),0.5(BDL),6.0,0.21,2023
4504,Aug,SARAKKI LAKE,"D (Propagation of wild life,fisheries)",5,7.4,813,7.0,2.4,490,16000,3(BDL),232.0,4.4,5(BDL),232.0,124.0,68,0.61,220,116,104,13,80.0,552,0.34,0.5(BDL),10.0,0.35,2023
3638,Aug,YELACHENAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.4,7.1,333,10.0,1.0,7900,92000,3(BDL),96.0,7.9,5(BDL),96.0,48.0,102,0.92,88,52,36,5(BDL),34.0,230,0.2 (BDL),0.5(BDL),4.0,0.2(BDL),2023
3592,Aug,YEDIYUR TANK,"D (Propagation of wild life,fisheries)",4.2,7.4,251,11.0,0.73,11000,54000,3(BDL),72.0,21.8,5(BDL),72.0,36.0,109,0.94,64,40,24,5(BDL),26.0,174,0.2 (BDL),0.5(BDL),3.0,0.2(BDL),2023
3591,Aug,KEMPAMBUDHI TANK,"E (Irrigation, industrial cooling and controlled waste)",3.1,6.8,538,12.0,1.6,4800,35000,3(BDL),156.0,8.2,5(BDL),156.0,80.0,110,2.6,144,80,64,8,53.0,366,0.22,0.5(BDL),7.0,0.23,2023
5566,Aug,"Basavanapura Lake Ayyappa
Nagr Main Road , K. R. Puram ,
Bengaluru","D (Propagation of wild life,fisheries)",4.8,6.5,1059,6.0,1.0,5800,92000,3(BDL),116.0,5.8,5(BDL),116.0,52.0,56,0.4,124,68,14,15,44.0,720,0.22,0.5(BDL),12.0,0.21,2023
3605,Aug,YELEMALLAPPA SHETTY LAKE,"E (Irrigation, industrial cooling and controlled waste)",2.8,6.5,1190,13.0,2.38,410,16000,3(BDL),396.0,12.3,5(BDL),396.0,96.0,116,11.0,256,132,124,31,67.0,806,0.2(BD L),0.5(BDL),14.0,0.2(BDL),2023
4515,Aug,BHATTARAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.8,7.7,815,7.0,2.14,310,9200,3(BDL),132.0,3.2,5(BDL),132.0,144.0,60,0.4,92,52,40,18,94.0,552,0.2 (BDL),0.5(BDL),19.0,0.36,2023
3643,Aug,BENNIGANAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.9,6.9,491,4.0,1.88,700,16000,3(BDL),108.0,2.1,5(BDL),108.0,80.0,46,0.86,128,68,60,20,42.0,342,0.2 (BDL),0.5(BDL),10.0,0.2(BDL),2023
3603,Aug,VENGAIYYANAKERE( KR PURAM LAKE ),"D (Propagation of wild life,fisheries)",4.8,6.9,1420,4.0,5.45,4000,92000,3(BDL),328.0,6.1,5(BDL),328.0,240.0,46,0.82,384,196,188,58,114.0,994,0.75,0.5(BDL),28.0,0.28,2023
4526,Aug,DEVASANDRA LAKE,"D (Propagation of wild life,fisheries)",5,6.7,428,4.0,1.64,480000,3500000,3(BDL),96.0,9.4,5(BDL),96.0,68.0,41,0.74,112,60,52,17,37.0,296,0.2 (BDL),0.5(BDL),9.0,0.2(BDL),2023
5563,Aug,"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East","E (Irrigation, industrial cooling and controlled waste)",2.9,7.2,840,18.0,3.22,230000,2400000,3(BDL),192.0,32.1,5(BDL),192.0,140.0,156,3.1,224,116,108,34,77.0,586,0.46,0.5(BDL),17.0,0.2(BDL),2023
5564,Aug,"Kannamangala Lake Hoskote Main Road , Bengalore","D (Propagation of wild life,fisheries)",5.1,6.9,2041,4.0,7.83,4900,54000,3(BDL),476.0,3.1,5(BDL),476.0,344.0,40,0.55,556,284,272,83,163.0,1432,0.42,0.5(BDL),41.0,0.31,2023
3614,Aug,PUTTENAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.2,7.2,390,4.0,2.0,4800,54000,3(BDL),96.0,9.5,5(BDL),96.0,48.0,40,0.62,120,64,56,13,36.0,268,0.55,0.5(BDL),12.0,0.2(BDL),2023
5567,Aug,"Doddakallasandra Lake,Bengalur","D (Propagation of wild life,fisheries)",4.3,6.9,410,4.0,2.0,630,16000,3(BDL),100.0,6.3,5(BDL),100.0,84.0,44,0.72,108,60,48,5(BDL),42.0,286,0.54,0.5(BDL),11.0,0.3,2023
4544,Aug,KOTHANURU LAKE,"D (Propagation of wild life,fisheries)",4.3,7.1,379,5.0,2.0,21,540,3(BDL),116.0,9.9,5(BDL),116.0,48.0,48,0.73,104,56,48,11,36.0,264,0.23,0.5(BDL),12.0,0.2(BDL),2023
5574,Aug,"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru","D (Propagation of wild life,fisheries)",4,6.9,416,9.0,2.0,700,16000,3(BDL),128.0,6.5,5(BDL),128.0,72.0,88,0.74,92,52,10,5(BDL),42.0,290,0.2 (BDL),0.5(BDL),11.0,0.3,2023
3602,Aug,BELLANDUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",0.3(BDL),6.9,1186,18.0,2.8,3300,35000,3(BDL),328.0,6.2,5(BDL),328.0,208.0,192,2.16,256,136,120,16,132.0,810,0.56,0.5(BDL),12.0,0.21,2023
3589,Aug,MADIWALA TANK,"D (Propagation of wild life,fisheries)",4.8,7.3,1170,8.0,3.0,4000,35000,3(BDL),200.0,2.4,5(BDL),200.0,108.0,95,0.4,244,128,116,10,140.0,796,0.58,0.5(BDL),12.0,0.2(BDL),2023
4547,Aug,"MANGAMANAPALYA
LAKE(SWARANA KUNTE)","D (Propagation of
wild life,fisheries)",4.3,7.3,1168,7.0,3.0,3100,92000,3(BDL),208.0,3.3,5(BDL),208.0,124.0,89,0.4,220,116,104,11,144.0,790,0.63,0.5(BDL),12.0,0.21,2023
3622,Aug,SOMASUNDRAPALYA LAKE,"D (Propagation of wild life,fisheries)",4.5,7.4,796,8.0,2.0,4800,54000,3(BDL),184.0,2.8,5(BDL),184.0,116.0,90,0.4,196,112,84,10,82.0,546,0.24,0.5(BDL),12.0,0.21,2023
3609,Aug,IBBALUR LAKE,"D (Propagation of wild life,fisheries)",4.3,7.2,1027,6.0,2.2,4700,160000,3(BDL),192.0,3.4,5(BDL),192.0,128.0,75,0.4,196,108,88,9,107.0,700,0.49,0.5(BDL),8.0,0.21,2023
3612,Aug,AGARAM LAKE,"D (Propagation of wild life,fisheries)",4.4,7.3,795,6.0,2.0,2200,24000,3(BDL),180.0,4.1,5(BDL),180.0,116.0,75,0.4,168,100,68,11,89.0,540,0.28,0.5(BDL),12.0,0.23,2023
3642,Aug,JIGANI TANK,"D (Propagation of wild life,fisheries)",4,7.7,896,9.0,4.0,330,9200,3(BDL),252.0,8.4,5(BDL),252.0,148.0,84,0.97,212,112,100,37,123.0,612,0.2(BD L),0.5(BDL),37.0,0.57,2023
3594,Aug,SANKEY TANK,"D (Propagation of wild life,fisheries)",4.9,7.6,549,7.0,1.6,460,16000,3(BDL),156.0,5.1,5(BDL),156.0,84.0,69,0.57,148,80,68,9,54.0,374,0.23,0.5(BDL),7.0,0.23,2023
3624,Aug,PUTTENAHALLI LAKE,"D (Propagation of wild life,fisheries)",4.1,7.1,754,11.0,2.2,3300,35000,3(BDL),216.0,18.1,5(BDL),216.0,116.0,112,0.95,204,108,96,12,74.0,514,0.32,0.5(BDL),9.0,0.32,2023
3625,Aug,HEBBAL LAKE,"D (Propagation of wild life,fisheries)",4.2,7.0,750,11.0,2.2,4800,92000,3(BDL),212.0,14.4,5(BDL),212.0,116.0,107,0.93,200,108,92,12,74.0,510,0.31,0.5(BDL),9.0,0.34,2023
3629,Aug,ALLALASANDRA LAKE,"E (Irrigation, industrial cooling and controlled waste)",3.2,6.9,1119,13.0,3.2,2700,24000,3(BDL),312.0,32,5(BDL),312.0,172.0,129,1.9,300,156,144,17,109.0,762,0.47,0.5(BDL),14.0,0.47,2023
3630,Aug,YELAHANKA TANK,"E (Irrigation, industrial cooling and controlled
waste)",3,6.9,1207,13.0,3.5,3900,160000,3(BDL),336.0,30.2,5(BDL),336.0,188.0,131,2.1,324,168,156,18,117.0,822,0.51,0.5(BDL),15.0,0.57,2023
3627,Aug,JAKKUR LAKE,"E (Irrigation,
industrial cooling and controlled waste)",2.8,7.2,1207,23.0,4.63,4900,54000,3(BDL),280.0,4.9,5(BDL),280.0,200.0,160,4.7,328,168,160,49,107.0,842,0.57,0.5(BDL),24.0,0.32,2023
3626,Aug,NAGAVARA LAKE,"D (Propagation of wild life,fisheries)",6.1,7.1,640,4.0,2.45,2200,24000,3(BDL),144.0,3.8,5(BDL),144.0,104.0,41,0.4,172,92,80,26,60.0,446,0.2 (BDL),0.5(BDL),13.0,0.2(BDL),2023
4507,Aug,CHELEKERE LAKE,"D (Propagation of wild life,fisheries)",6.6,6.7,559,4.0,2.14,6300,54000,3(BDL),124.0,4.1,5(BDL),124.0,92.0,40,0.42,148,80,68,23,47.0,390,0.2 (BDL),0.5(BDL),11.0,0.2(BDL),2023
4508,Aug,SINGAPURA LAKE,"D (Propagation of wild life,fisheries)",5.4,7.2,758,4.0,2.91,4100,35000,3(BDL),172.0,3.1,5(BDL),172.0,124.0,45,0.4,204,108,96,31,70.0,530,0.2 (BDL),0.5(BDL),15.0,0.2(BDL),2023
